sentences,category
학교 검진 고혈압 나오다 제가 혈압 아니다 같다 하다 더하다 맞다 고치다 고혈압 걸리다 제가 스트레스 받다 흥분 하다 하다 증상 고혈압 좋다 음식 아다 그리다 할아버지 당뇨 외할아버지 고혈압 예,고혈압
제가 요번 신체검사 때 고혈압 위험 나오다 혈압 나오다 모르다 마르다 고혈압 같다 걸리다 꺼 생각 위험 하다 약간 검사 차 검진 해보 하다 고혈압 위험 군 위험 을리다 면 식습관 어떻다 바꾸다 하다 요,고혈압
아다 제가 학교 건강 검진 받다 혈압 정상 미만 나이 비하다 높다 나오다 고혈압 위험 가족 생활 환경 주의 신경 쓰다 되다 그렇다 나오다 그다 화가 낳다 때 목 뒤쪽 아프다 한쪽 머리 아프다 짜증 나다 막 승 손끝 작다 떨리다 일어나다 주먹 심장 소리 하다 심장 박동수 들다 그다 그러다 모르다 고혈압 무섭다 어떻다 하다 하다 알리다 주세 하나 손 심장 박동수 뛰다 느껴지다 이러다 걸 가요 내공 걸다 알다 주세,고혈압
안녕 하세 아버지 고혈압 있다 지방간 고지혈증 있다 콜레스테롤 수치 높다 스트레스 받다 일 많다 그렇다 머리 아프다 때 있다 정도 아무것 눕다 하다 정도 머리 아프다 오늘 머리 아프다 뒤 왼쪽 팔 지다 하다 혈압 올라가다 머리 아프다 걸다 병원 가다 정밀 검사 받다 하다 스트레스 그러다 가시다 하다 고혈압 환자 이렇다 두통 증상 걱정 되다,고혈압
올해 되다 남자 전 뒤 목 댕기다 귀 주변 낳다 후두부 하다 고혈압 증상 그리다 평소 정도 평균 나오다 같다 그러다 고혈압,고혈압
혈압 재다 최저 최고 나오다 군대 입대 때 고혈압 판정 늘다 급 들어가다 그때 전날 과음 그렇다 나오다 알다 안다 전역 기회 있다 어보 아다 최고 갈다 목 뒷덜미 고혈압 심이 되다 고혈압 좋다 식습관 생활 습관 운동 알리다 주세 좋다 음식 자체 치료 있다,고혈압
어머니 얼마 전 얼굴 뜨거워지다 하다 오늘 병원 혈압 측정 원래 저혈압 시다 고혈압 시 약 드시다 하다 고혈압 약 먹다 하다 조절 혈압 정상 돌아오다 답 변 부탁드리다 감사,고혈압
아빠 전쯤 고혈압 진단 받다 비만 같다 얼굴 말르다 배 나오다 들어가다 하심 제가 출생 모르다 하다 정도 되다 체중 모르다 현제 혈압 이시다 아빠 약 먹다 먹다 하다 고혈압 약 의존성 안 드시다 하다 그다 맞다 생각 지금 처음 한약 지금 드시다 운동 그다 혈압 오르다 하다 문제 있다 그렇다 오늘 몸 상태 좋다 그러다 초 길다 고혈압 좋다 야채 같다 먹다 식이 요법 시도 하다 제가 수준 심하다 모르다 아빠 대화 나누다 질문 하다 하다 인터넷 보다 고혈압 좋다 음식 길다 하다 의사 샘 추천 음식 당 근 깎다 먹다 음식 알리다 주심 감사 수고,고혈압
제가 고혈압 일지 모르다 생각 듣다 증상 병원 가보다 고혈압 증상 집 하다 있다 치료법 고혈압 원인 부 드리다,고혈압
고 신체 검사 때 고혈압 단백뇨 가다 나오다 그때 뒤 기억 남 앞 보다 이렇다 나오다 단백뇨 있다 하다 가다 가다 재다 높다 심호흡 같다 하다 재다 나오다 통과 통과 기준 단백뇨 소변 검사 하다 말 없다 무리 운동 나타나다 수도 고 빠르다 임 부끄럽다 토욜 자위 행위 연속 그날 피곤하다 자다 다음 낳다 코피 나다 이렇다 없다 코 피나다 멈추다 노 코 엄마 혈압 재다 나오다 예 자위 숨 김 인터넷 찾아보다 고혈압 증세 코피 있다 코피 자위 행위 고혈압 때 문인 가요 아다 실수 없다 자위 행위 고혈압 중 코피 낳다 있다 엄마 월요일 학교 조퇴 맞다 병원 가다 신체검사 하다 하다 개다 목요일 날 가다 싶다 거들다 요 그날 학교 그렇다 말씀드리다 그전 쓰러지다 어떻다 하다 하다 걱정 고등 학생 고혈압 쓰러지다 뇌 질환 같다 오다 있다 아니다 운 좋다 월욜 가다 목욜 날 가다 쓰러지다 있다 황 삶 걸리다 문제 무섭다 걱정 고혈압 약 평생 먹다 하다 하다 찾아보다 운동 식이 요법 낮다 지면 안 먹다 되다 하다 사실 마지막 혈압 기계 재다 나오다 나오다 나오다 움직이다 이러다 그리하다 가족 낮다 글다 전 고혈압 있다 장 황 쓰다 중심 내용 고등 학생 고혈압 쓰러지다 있다 오다 코피 나다 일다 내공 없다,고혈압
