sentences,category
아래 송곳니 잇몸 양치 시 피 나다 냄새 좋다 치과 찾다 별 상담 눕히다 잇몸 성형 하다 하다 레이 지다 시술 어쩌다 저쩌다 설명 하다 듣다 설명 정확 레이 지다 시술 하다 잇몸 차다 오르다 떄 기다리다 하다 잇몸 치료 차 올르다 염증 생기다 치료 하다 치료 후 기다리다 주 후 오라 하다 주가 지 나도 잇몸 채워지다 계속 구멍 뚫리다 음식 먹다 때 끼다 음식물 찌꺼기 이쑤시개 제거 하다 전화 하다 잇몸 차오르다 하다 그러다 말 그리다 상황 보다 나중 치료 하다 되다 하다 보기 싫다 이빨 씌우다 되다 이빨 씌우다 치은염 치료 만원 되다 그러다 잇몸 성형 레이 지다 치료비 소독 비 들어가다 다그다 아다 송곳니 씌우다 가격 얼마 나오다 의사 자질 있다 사람 다르다 의사 분 저렇다 무책임하다 돈 벌리다 치료 행하다 화 말하다 크다 화 내다 어떻다 하다 하다 내이다 치과 병원 가다 치료 받다 벌이다 일 있다,치은염
되다 여아 아랫니 나오다 윗니 삐뚤다 잇몸 윗 자리잡다 같다 그렇다 젖병 빨다 손 빨다 부정 교합 영향 미치다 걱정 되다 보다 내밀다 같다 하다 저작 문제 있다 덩어리 질다 먹다 모두 어리다 아이 소아 치과 가다 치료 받다 있다 근처 소아 치과 없다 알다 가다 질환 명이 무엇 치료 하다 있다 얼마 전 헤르페스 치은염 앓다 그때 문 잇몸 붓다 그렇다 보이다 생각 되다 잇몸 붓다 언제쯤 가라앉다 지금 주 정도 지나다 발병 한지,치은염
제가 잇몸 좁다 그렇다 고르다 상악 하악 덧니 조금 있다 그렇다 위아래 양쪽 사랑니 낳다 자리 없다 날 보다 잇몸 뒷 부분 늘어나다 같다 자리 생기다 같다 전 통증 오다 아프다 잊다 아프다 아프다 때 일 아프다 일 괜찮다 아프다 이러다 통증 사랑니 그러다 맞다 잇몸 자리 부족 자리 내다 잇몸 건드리다 맞다 심하다 붓다 그러다 없다 잇몸 전체적 무르다 같다 아프다 곳 하악 왼쪽 영구치 부분 영구치 흔들리다 사랑니 나오다 아프다 고민 사랑니 통증 맞다 아니다 치주염 치은염 아니다 제가 담배 부끄럽다 피다 오다 잇몸 질환 오다 답변 부탁드리다,치은염
구취 고민 원인 침 마르다 그러다 같다 그렇다 목 마르다 물 마시다 되다 전 비 염 수술 하다 후 가래 끊이다 생기다 한번 뱉어내다 하다 한가지 치열 고르다 외국 아이 보다 얼굴 작다 어리다 때 터 치아 교정 하다 부정 교합 생기다 하다 그렇다 제가 생각 구취 원인 가래 비염 치열 고르다 원인 생각 치과 비다 후 과 선생님 가능성 구취 원인 되다 있다 생각 만약 그렇다 해결 있다 방법 없다,치은염
어금니 표면 하나 검다 점 같다 정도 있다 하나 제일 안쪽 어금니 깨알 작다 검다 점 있다 전 출산 후 치은 염과 영구치 나다 부위 치아 씌우다 치과 가다 때 석회화 되다 충 치다 치료 안하다 그때 비하다 커다 진 않다 같다 충치 치료 하다 정지 우 양치질 관리 잘하다 되다 답변 부탁드리다,치은염
남학생 다르다 제가 입냄새 백태 심각 하루 이 닦다 정도 잇다 냄새 양치질 하다 때 백태 정도 없다 때 칫솔 혀 닦다 입 안과 칫솔 행구다 그다음 치약 칫솔 묻히다 치아 닦다 그렇다 아침 밥 먹다 닦다 학교 가면 이상 입 냄새 나다 같다 느낌 듣다 책상 엎드리다 입김 내뿜다 냄새 맡아보다 냄새 학교 수업 교시 때쯤 대면 막 백태 끼이다 잇다 닷 가다 트다 나다 같다 밥 먹다 정도 나다 백태 끼다 매점 사탕 가다 트다 사먹다 조금 지나다 냄새 저의 학교 애 점심 먹다 양치질 안하다 저두 안해 이러다 학교 남 학교 긴하다 애 이랑 얘기 힘들다 말싸움 때 그렇다 아다 입냄새 짜증나다 학원 갈다 때 시간 정도 구취 나다 집 오랫동안 안 나다 같다 유독 아침 오전 이 닦다 이러다 냄새 나다 같다 방법 없다 아다 제가 사랑니 날다 해 중 인 디 위 정도 낫다 밑 정도 낫 어다 이상 난건 아니다 어금니 모양 테 식 사랑니 볼 깨물다 때 잇다 사랑니 구취 상관 잇다 니다 기보 단 밑 치아 음식물 먹다 치아 끼다 썩다 같다 하다 방법 없다 위 간가 트다 데는 이상 없다 같다 병원 가라다 소리 말다 방법 갈키다,치은염
예전 입 냄새 나다 중학교 들어오다 입 냄새 나다 시작 닦다 사탕 껌 씹다 해보다 효과 있다 별 소용 없다 제가 충치 없다 썩다 곳 없다 입 냄새 나다 원인 인터넷 나돌다 다니다 입냄새 제거 방법 효과 있다 만약 입냄새 치료 하다 방식 하다 입 냄새 제거 방법 무엇 답변 부탁 드리다,치은염
입 심하다 구취 나다 알다 고요 피 맛 철 맛 정도 몸 피 낳다 그전 입 냄새 심하다 이유 고민 혀 비염 속이 좋다 가 혀 틈나다 때 닦다 이빨 닦다 냄새 원인 잘못 잇 손질 잇 손질 하다 말씀드리다 피 맛 이렇다 미세 날다 잇몸 좋다 가요 저의 치아 선천적 건강 인지 충치 하나 없다 그리하다 충치 없다 잇 손질 잘못 몰르다 흠 잇몸 보다 선 홍 빛 엄마 입 까다 보여주다 호랑이 물다 생기다 건강 그러다 제가 보기 한쪽 잇몸 이빨 덮다 영 붓다 색깔 선 홍 무엇 이렇다 피 맛 같다 느껴지다 예전 악취 줄다 침 삼키다 때 목 무언가 넘어가다 느낌 강하다 예전 잇 손질 잘못 때 지금 줄다 없다 정도 잘못 잇 손질 그렇다 잇몸 고름 저다 후 비루 알다 복사 글 올리다 말다 관련 글 읽다 부탁드리다,치은염
과거 심하다 장염 과민성 대장 증후군 앓다 있다 위산 다도 심하다 지금 괜찮다 맡다 냄새 나다 하다 주위 사람 그러다 모르다 냄새 맡다 맛 보다 체취 느끼다 신장 간이 좋다 몸 악취 나다 말 있다 과민성 대장 증후군 심하다 낳다 하다 신장 간이 좋다 모르다 처음 몸 악취 나다 덜다 때 과민성 대장 증후군 앓다 때 그러다 이상 그다 낫다 몸 냄새 계속 낳다 하다 변비 없다 소화 더디다 같다 음식 편식 야채 싫어하다 고기 좋아하다 제가 비만 냄새 땀 흘리다 흘리다 간 나다 전신성 액취증 아니다 하다 생각 들다 하다 겨드랑이 아다 포 샘 있다 오른쪽 겨드랑이 심하다 붓다 만지다 살 같다 하다 왼쪽 비하다 오른쪽 비정상 붓다 보다 살 같다 깊다 눌르다 통증 없다 가렵다 임파선 이상 생기다 아니다 아다 포 샘 비정상 발육 색 이상 주워듣다 얘기 신체 접히다 부분 관절 위치 씻다 피부 까맣다 사람 있다 제가 그렇다 무릎 오른쪽 겨드랑이 도요 색 ㅅ 그다 몸 안 노폐물 쌓이다 그렇다 그렇다 몸 악취 나다 이유 일다 운동 괜찮다 증상 근본 적인 원인 해결 방안 어떻다 있다 만약 병원 가다 하다 가다 하다,치은염
개인적 충치 많다 치과 가보다 마스크 쓰다 치과의 사분 계시다 어떠다 치과 안면 마스크 투명 유리 얼굴 가리다 쓰다 전 마스크 쓰다 좋다 웨다 심플 하다 보이다 말씀 때 하다 들리다 아다 벌 이렇다 말 그다 마스크 쓰다 치과의 사분 심플 보이다 말 소리 마스크 가리다 들리다 안면 마스크 비싸다 쓰다 치과의 사분 좋다 안면 마스크 쓰다 간지 후 폭풍 비싸다 쓰다 한가지 질문 제가 하루 양치질 정도 하다 올바르다 양치질 하다 치과 배우다 그다 치아 썩다 체질 유전 최근 썩다 진짜 밥 먹다 안 이 닦다 하다 썩다 군대 이등병 때 고참 이등 병이 양치질 이상 하다 욕먹다 양치질 하다 썩다 의심 갈다 담배 피다 자다 늘다 없다 담배 충치 원인 되다 답변 부탁드리다,치은염
안녕 하세 치아 희다 반점 같다 있다 그다 계속 임 몸 내리다 앉다 양치 출혈 나다 고요 양치 임 몸 치아 아프다 그러다 어떻다 하다 나아지다 정확 답변 부탁드리다,치은염
안녕 어제 잇몸 아프다 치과 갈다 하다 추석 다그다 지나다 중간 고사 끼다 효도 방학 때 문 나다 갈다 시간 없다 지금 치석 끼다 스케일링 하다 하다 심하다 아프다 아프다 하다 거슬리다 그다 치석 가리다 저서 충치 의심 하다 윗니 오른쪽 끝 사이 잇몸 아프다 만지다 피 나다 끝 이빨 들여다보다 끝 앞쪽 이 치석 가리다 충치 모르다 이빨 아프다 잇몸 치과 동안 갈다 시간 없다 걱정 간 방치 되다 치과 고 싶다 전문가 답변 부탁 드리다,치은염
제가 과일 좋아하다 과일 먹다 양치질 하다 때 통증 있다 먹다 과일 그렇다 아니다 포도 귤 같다 대체 신맛 있다 과일 먹다 그렇다 이상 점 하루 양치질 하다 경우 증상 심하다 사 정상 양치질 하루 하다 되다 경우 증상 완화 점 닦다 문제 안 닦다 문제 제가 어떻다 하다 좋다 치아 건강 지키다 있다 알다 주세,치은염
제가 중학교 때 잇몸 질환 시작 같다 지금 중간 치과 가다 스케일링 받다 학교 결석 안되다 하다 하다 한번 가다 가다 다음 사다 때쯤 가다 스케일링 넘다 하다 같다 그리다 의사 선생님 잇몸 예쁘다 디자인 하다 하다 하다 치과 가기 한 당일 급 일 생기다 가다 치료 마무리 지금 상태 차다 뜨겁다 먹다 때 그렇다 먹다 편 이구 잇몸 검붉다 보다 붓다 상태 들뜨다 느낌 들다 흔들거리다 잇몸 내려가다 같다 건드리다 피 나다 월요일 치과 갈다 맘 먹다 겁 증상 치과 가면 치료 받다 되다 고통 비용 들다 답변 부탁드리다 겁,치은염
잇몸 좋다 같다 여쭈다 지금 이러다 없었다 걱정 이 흔들리다 아프다 잇몸 아프다 없다 그다 밥 먹다 끼다 혓바닥 하다 잇몸 빨다 있다 그렇다 하다 후 침 뱉다 피 나오다 빨대 빨다 입안 빨다 피 나다 와요 아프다 없다 피 빨리다 느낌 나다 침뱉다 피 질다 환 이름 머다 병원 갈다 정돈 가요 아 약 먹다 되다 알다 주세,치은염
침 피 나오다 들다 말 위출혈 얼마 전 이틀 아프다 앓아눕다 때 처음 침 피 나오다 오늘 그러다 소화 기관 좋다 알다 침 통하다 입 피 나오다 위 출혈 맞다 어떻다 하다 좋다 알다,치은염
절다 직업 상 밤 일하다 피곤하다 그렇다 입안 헐다 평소 쓰다 왼쪽 헐다 오른쪽 먹다 안쪽 있다 어금니 뒤 잇몸 붓다 오른쪽 어금니 없다 음식 먹다 때 잇몸 씹다 하다 일하다 잇몸 붓다 지금 목 붓다 남들다 말로 염증 사랑니 사랑니 난적 없다 죽다 무엇 까다,치은염
달 전 금 운 어금니 약간 양치질 때 피 나다 대수롭다 여기다 요 며칠 고기 먹다 잇몸 붓다 같다 어금니 밑 턱뼈 목 연결부위 사이 만지다 만지다 반대편 아프다 만지다 아프다 아프다 느껴지다 오늘 발견 병원 가다 하다 가야 치아 관련 있다 아니다 내과 이비인후과 관련 있다 모르다 치아 관련 있다 제가 평소 어금니 깨물다 습관 있다 그리하다 어쩌다 때 잇몸 붓다 때 있다 병원 가다 집 민간 요법 증상 호전 방법 없다,치은염
제가 이 닦다 때 잇몸 이 사이 피 나다 병원 가다 하다 되다 설명 하다 입 열다 보이다 아래 있다 이 ㅁ ㅁ ㅁ ㅁ 이 닦다 닦다 이 부분 피 나다 사이 잇몸 피 나다 부분 닦다 피 나다 발 답변 병 몰다,치은염
이제 올라가다 시험 많다 스트레스 받다 제가 몸 관리 치아 관리 충치 치석 있다 안하다 그러다 몰르다 한 달 전 잇몸 정도 붓다 그러다 어제 밤 쯤 자 다그다 일어나다 생기다 있다 전부 왼쪽 구석 일어나다 제가 양치질 아침 먹다 자다 전 하다 잇몸 붓다 같다 자주 붓다 염증 하다 피 같다 나다 그러다 붓다 하다 피 나오다 한번 없다 이상 달 전 잇몸 붓다 때 서서 히 가라앉다 가가 터지다 침 같다 모르다 가가 흐르다 같다 뒤 가다 앉다 전 하루나 이틀 위 가라앉다 그렇다 크다 신경 쓰다 염증 현상 보다 걱정 올리다,치은염
