sentences,category
안녕 하세 턱 오랫동안 아프다 아프다 오다 오늘 치과 가다 사진 찍다 치과 의사 선생님 턱관절 디스크 같다 하다 턱 디스크 빠져나가다 턱 아프다 정도 되다 제가 입 크다 벌리다 소리 두통 없다 그다 싫다 얼굴 변하다 생각 전 얼굴 사진 보다 느끼다 얼굴 달라지다 길다 하다 디스크 관절 빠지다 그러다 치료 방법 없다 전 얼굴 돌아가다 있다 방법 턱 빠지다 디스크 넣다 있다 방법 없다 어떡하다 이렇다 까다 되다 모르다 들다 생각 옛날 돌아가다 마음 얼굴 바뀌다 자신감 없다 사람 처다보다 대인 기피증 대학 병원 알아보다 치료비 들다 완치 안다 알다 턱 돌아가다 있다 같다 경험 없다 가요 아 전문가 선생님 대답 신중 답하다 주세,디스크
안녕 남학생 허리 디스크 궁금하다 여쭈다 하다 허리 디스크 같다 계기 중 때 구르기 체육 시간 하다 허리 떨어지다 바람 허리 다치다 물리 치료 치다 정도 그때 잠시 동안 숨 쉬다 구 타박상 주 동안 물리치료 하다 중 때 옆구리 뼈 밑 피부 감각 없다 쓰리다 병원 주변 잇다 곳 돌아다니다 그중 병원 의사 선생님 허리 디스크 전 단계 증상 이름 생각 나다 물리 치료 주간 받다 괜찮다 그러다 중 때 옆구리 아프다 정도 심하다 가다 허리 디스크 그러다 용 하다 마음 주변 병원 다니다 엑스레이 결과 미세 빗 있다 하다 허리 디스크 늘다 허리 밑 생기다 전 중간 아프다 허리 디스크 단순 타박상 다 그러다 중요 다리 저리다 되다 전 증상 없다 하다 그리하다 모르다 조금 아프다 물리 치료 받다 하다 그러다 고 현재 결국 다리 저리다 현상 생기다 생기다 허리 디스크 기기 전 빻다 디스크 판단 빠르다 판단 하다 좋다 처음 다니다 병원 그러다 나머지 병원 단순 타박상 하다 인터넷 보다 허리 디스크 증상 맞다 같다 소 대변 장애 나타나다 소변 괜찮다 대변 변비 아니다 그러다 변비 하다 예전 멀다 달라지다 느끼다 잇다 잠 자다 때 허리 정면 자다 아프다 옆 눕다 자다 이제 옆 하다 허리 아프다 자다 수술 비용 보다 하다 집 사정 하다 있다 돈 있다 아니다 나이 젊다 나이 절다 만하다 하다 말르다 글 보다 고 되다 하루 종일 앉다 하다 바쁘다 때 치료 받다 지금 받다 낫다 그러다 야자 빼다 물리 치료 받다 그러다 물리치료 하다 낫다 아니다 허리 디스크 구별 간단 요법 같다 그러다 증상 같다 그러다 부 위 중간 아프다 현명 의사 부탁 드립 니다 디스크,디스크
동안 허리통증 시달리다 침 맞다 고통 참다 최근 주 듣다 허리 아프다 오다 침 맞다 낫다 지질 않다 신경외과 진료 판독 결과 근육통 하다 그리하다 간 겪다 근육통 같다 허리 디스크 의심 아다 그리다 증상 말씀드리다 주전 꼬리뼈 윗 통증 있다 동시 오른쪽 엉덩이 아랫부분 시리다 통증 있다 최근 전 왼쪽 허리 아프다 오다 시작 허리 디스크 근육통 간 지속 있다 허리 디스크 증상,디스크
안녕 허리 디스크 앓다 한 학생 입다 다 제가 운동 선수 순간 허리 아프다 처음 아다 운동 하다 인가 생각 병원 가보다 엑스레이 찍다 의사 선생님 한번 찍다 보다 고하다 결과 허리 척추 신경 그다 튀어나오다 하다 같다 물렁뼈 눌리다 디스크 하다 심하다 수술 가능성 크다 하다 선생님 수술 아깝다 하다 저다 심하다 수술 정도 다리 절이다 걸어다니다 전 정 돈 수술 하다 걸어다니다 하다 스트레칭 하다 물리치료 계속 받다 치료 되다 아니다 허리 디스크 좋다 운동 음식 알리다 주세,디스크
월경 직장 일하다 다치다 추간판 탈출증 수 핵 제거 수술 받다 수술 후 계속 하지 방사 통 요통 잔존 물리 치료 약물 치료 약 간 받다 통증 계속 올해 대학 병원 촬영 신경외과 척추 전문 의학 박사 지금 통증 지속 원인 밝히다 원인 디스크 내장증 디스크 변성 증 통증 치료 위하다 병원 입원 정밀 유 미세 침습 치료 받다 입원 치료 받다 동안 정도 통증 없다 요즘 듣다 예전 통증 계속 병원 방문 의사 선생님 문의 이제 정밀 유도 치료 효과 없다 인공 디스크 삽입 수술 하다 하다 하다 직장 다니다 직장 당초 승인 받다 병명 디스크 탈출증 디스크 내장증 디스크 변성 증 추가 상병 정 신청 하니 당초 승인 상병 인과 관계 없다다 승인 취소 승인 취소 사유 당초 상 병 인정 추가 발견 상 병 퇴행성 병명 하다 직장 입사 당시 건강 체력 좋다 아프다 병원 입원 적도 없다 입 사하다 직장 무겁다 들다 운반 업무 을 아 오다 직장 업무 사적 무겁다 들다 운반 본적 없다 추가 발견 병명 추간판 탈출증 상당 인과 관계 없다 퇴행성 질환 추가 상병 정 취소 정확 디스크 변성 증 디스크 내장증 병 병 명의 발병 원인 좋다 답변 부탁드리다,디스크
지금 달 허리 디스크 고생 고등학생 허리 디스크 진단 받다 일주일 정도 있다 제가 디스크 잠 자다 눕다 다리 뻗다 없다 허리 아프다 그리하다 요새 ㅇ ㅅ 눕다 자세 배 게르다 무릎 밑 끼우다 잠 자다 디스크 환자 분 다리 길다 뻗다 이렇다 아프다 디스크 운동 좋다 스다 아침저녁 스트레칭 하다 효과 있다 의문 학생 하루 종일 교실 앉다 하다 통증 장난 아니다 낫다 있다 방법 없다 한의원 디스크 관하다 치료 병원 같다 디스크 물리치료 답변 하다 되다 닫다,디스크
현재 살인 남자 고등 학생 되다 때 책상 앉다 어떻다 정리 하다 때 날개 뼈 부르다 부위 아프다 책 정리 팔과 어깨 움직이다 하다 정리 심하다 아프다 때 병원 갈다 어떠다 때 근막 염 어깨 주사 처방 받다 때 있다 어다 때 자세 불량 물리 치료 하다 넘어가다 저번 주 목 뒤 하다 앞 하다 목 뒤 부분 무엇 가다 빠지다 들어오다 같다 느낌 받다 디스크 만약 디스크 디스크 어깨 게 속 아프다 있다 벌쓰다 디스크 하다 겁 나다 어떻다 하다 하다 모르다,디스크
군 복무 중인 현역 다르다 얼마 전 대전 통합 병원 허리통증 찍다 허리 디스크 라 하다 물리 치료 하다 약 먹다 괜찮다 질 끄다 아다 대답 하다 부대 의무대 가다 상담 고 하면서 예전 심하다 운동 통증 남다 찍다 허리 디스크 초기 하다 달 찍다 허리 디스크 라 하다 걸 때다 허리 아프다 앞 수그리다 걷다 앉다 때 허리 앞뒤 움직이다 통증 거리다 허리 뒤쪽 요대 근처 척추 양쪽 지점 통증 오다 아침 일어나다 때 허리 아프다 몽둥이 맞다 통증 있다 앉다 허리 등 주변 아프다 움직이다 때 있다 지금 상태 생활 방법 있다 수술 그렇다 운동 다르다 비 수술 하다 있다 알리다 군대 제약 받다 있다 부대 내 하다 있다 치료 가능 방법 부탁 드리다 눕다 자다 때 베다 배다 일자 눕다 자다 좋다 방 법인 지도 알려주다 허리 디스크 일 때 주의 하다 점 알다 감사 빠르다 답변 부탁 드리다,디스크
제가 때 체력 검사 하다 허리 늘다 후 일주 일쯤 후 허벅지 통증 있다 이곳저곳 병원 다니다 달 병원 가다 주사 맞다 통증 없다 사다 때 허벅지 통증 고 때 가다 병원 가다 주사 맞다 통증 없다 올해 달 전 허벅지 통증 오다 병원 찾다 주사 맞다 통증 없다 개인 병원 옮기다 다니다 통증 없다 주다 종합 병원 찾아가다 찍다 디스크 하다 말하다 생기다 찍다 후 약 일주일 먹다 찍다 전 주 정도 약 먹다 허벅지 오다 진통 없다 병원 엘 가지다 지나다 왼쪽 엉덩이 윗부분 중간 지점 터 안쪽 하방 센티미터 지름 정도 아프다 부위 누르다 아프다 하다 움직이다 하다 때 통증 있다 제가 일주일 동안 시험 기간 앉다 있다 단순 근육통 아니다 디스크 인하다 통증 모르다 허벅지 장단지 절이다 디스크 허벅지 장단지 절임 현상 이전 없었다 최근 디스크 등 아프다 경우 있다 하다 일 전 늘다 날개 삐다 조금 밑에서 시작하다 정도 등 아프다 전 늘다 잠 자본 없다 아푸다 잠 깨다 정도 까다 요 근래 디스크 약 먹다 아프다 같다 진통제 아다 디스크 약 먹다 때 속 매스껍다 토하다 같다 어지럽다 하다 찍다 전 하루 먹다 때 점심 먹다 쯤 약 먹다 쯤 속이 안 좋다 어지럽다 그리하다 담당 선생님 전화 말씀드리다 약 몸 그렇다 고해 같다 효능 성분 약 바꾸다 약 먹다 그러다 복용 후 정도 있다 괜찮다 찍다 약 먹다 때 하루 먹다 때 아침 저녁 먹다 별 이상 없었다 하루 그리하다 약 중단 이후 엉덩이 통증 오다 단순 근육통 아 디스크 영향 그리다 디스크 엉덩이 통증 악화 아니다 지도 알다 의사 소견 결과 상 수술 정도 하다 디스크 인하다 등 아프다 있다 병원 처방 약 먹다 때 아프다 계속 복용 되다 알다 약 먹다 매스껍다 증상 일어나다 어지럽다 하다 괜찮다 좋다 답변 부탁드리다 환자 보시다 바쁘다 답 글 닫다 주시 선생님 고맙다 선생님 건강,디스크
허리 디스크 환자 나이 이구 허리 디스크 판정 받다 구 서울 인 제대 학교 상 계백 병원 제가 원래 살이 많다 빼다 넘다 찌다 넘다 찌다 때 허리 아프다 무겁다 일 들다 일 하다 운전 하다 허리 아프다 앉다 허리 아프다 병원 가다 찍다 당장 수술 필요 하다 간 상 계백 병원 척추 유명 계시다 하다 나이 있다 봐주다 그러다 말 하다 젊다 살빼다 버티다 보라 하다 이후 허리 아프다 물론 디스크 판정 받다 이전 상태 정상적 상태 알다 길다 허리 디스크 걸리다 사람 아프다 그러다 어떻다 되다 몸 병 많다 병원 종류 갈다 허리 얘기 다 웃다 이상 이러다,디스크
