sentences,category
일 전 두통 있다 심하다 두통 한번 지끈거리다 아프다 가벼운 두통 생각 참다 한번 계속 주 아프다 걱정 좀 되다 이렇다 경우 병원 진료 받다 하다 두통 있다 사진 찍다 보다 덜다 하다 하다 답 변 부탁 드리다,두통
안녕 주 전 두통 생기다 요즘 들어서다 두통 심하다 무언가 몰두 힘들다 머리 아프다 눈 쉽다 피 해지다 같다 있다 두통 느껴지다 눈 뜰 수가 없다 아침 일어 서 아프다 잠 들다 하다 되다 두통 줄어들다 눈 뜨다 때 두통 심하다 스트레스 받다 없다 스트레스 두통 심하다 진 걸다,두통
현재 고등학생 학년 남자 친구 원래 두통 없다 요즘 듣다 통 심하다 전 밖 놀다 오락실 있다 작다 노래방 노래 부르다 머리 아프다 정신 나가다 같다 하다 식은땀 흘리다 눈 초점 없다 주의 있다 사물 쳐다보다 집 오다 눕히다 쯤 있다 아까 괜찮다 하다 예전 머리 왼쪽 가운데 아프다 하다 오늘 오른쪽 왼쪽 가운데 아프다 하다 뒷목 묵지하다 아프다 주무르다 닿다 고도 고요 일전 감기 두통 있다 알다 지금 감기약 복용 중이 감기 증상 괜찮다 두통 심하다 머리 쪼이다 느낌 낳다,두통
두통 있다 주변 보다 두통 잦다 말하다 스스로 두통 잦다 느끼다 상시 이유 통 발생 하다 운동 농구 후 나다 한여름 햇빛 아래 있다 차갑다 물 샤워 경우 자주 통 생기다 통 증상 머리 속 아프다 머리 속 심장 뛰다 느낌 머리 흔들리다 힘 주다 되다 통증 심하다 초기 두통 통증 약하다 약 먹다 참다 버티다 보다 하다 결국 통증 심하다 주변 잠 자다 낫다 잠 들다 기도 어리다 울다 잠 자다 하다 다음날 두통 이어지다 결국 약 먹다 투 통 낫다 경우 대부분 약 타다 이레 놀다 을 먹다 있다 효과 좋다 덜하다 때다 알 심 때다 알 먹다 먹다 통증 사라지다 약 의존 최대한 참다 정 견디다 때쯤 먹다 지금 살아오다 빼다 커다랗다 지병 있다 없다 현재 이어지다 호전 통 어리다 때 있다 촬영 해보다 좋다,두통
안녕 올해 올라가다 학생 다르다 요새 두통 심하다 예전 그리하다 요새 컴퓨터 조금 하다 두통 있다 하다 되다 머리 깨지다 아프다 아프다 두통 심하다 때 아스피린 먹다 아스피린 먹다 그리하다 나아지다 얼마 전 아스피린 먹다 잠 청하다 깨 보다 두통 있다 심하다 아프다 시도 때 미 약하다 마 편두통 오다 미 치다 컴퓨터 좋아하다 하다 초등 학생 시절 밤새다 트다 해보다 반나절 터 하다 적도 있다 전자 파 이렇다 싶다 달 정도 음주 하다 마시다 때 소주 병 소량 술 아니다 남 심하다 두통 증세 있다 같다 편두통 걱정 병 같다 의심 아니다 걱정 되다 진단 내리다 주세,두통
두통 달다 살다 자영업자 년 같다 현상 반복 있다 소주 잔 마시다 술 자리 두통 동반 왼쪽 관자 노리 왼쪽 눈 위 눈 사우 조금 보다 마찬가지 두통 평시 목 뒷쪽 고개 가만두다 불편 정도 고생 하다 반년 정 괜찮다 같다 견디다 두통 그러다 아프다 죽다 신경외과 전 전 한번 가보다 무엇 문제 어떻다 하다 하다 가의 두려움 크다 병원 가보다 무섭다 도와주다 부탁 드리다,두통
오래전 반복 두통 속 미식 거림 증상 있다 갖다 비염 문제 두통 오다 생각 그동안 비염 치료 하다 수술 수차례 받다 두통 조금 해소 두통 속 미식 거림 시달리다 증상 머리 무겁다 체 속이 미식거리다 머리 흔들다 목 연결 뒷머리 부분 두드리다 머리 울리다 통증 커지다 담배 피우다 두통 심하다 지금 끊다 금연 통 잊다 위하다 술 마시다 잠들다 날 많다 안경 벗다 두통 사라지다 같다 하다 뒷목 머리 뒷부분 마사지 두통 조금 해소 얼마 전 신경과 방문 경추 두통 침 물리 치료 뒷 머리 주사 맞다 후 이틀간 머리 심하다 아프다 짓다 약 먹다 두통 해소 며칠 전 와이프 먹다 편두통 약 한번 먹다 이틀간 두통 사라지다 지금 아프다 와이프 편두통 증상 닿다 편두통 같다 증상 두통 오다 해결 방법 알리다 한번 신경과 방문 아니다 통증 학과 방문 까다 고민 답 변 주다,두통
약 전 시작 두통 까다 낫질 않다 살다 하다 해결책 없다 사진 나오다 방 치료 받다 별 효과 없다 하다 드다 늦다 전 정확 진료 받다 신경과 찾아가다 되다 두통 치료 위하다 제가 하다 하다 일 정확 답변 부탁 드리다,두통
동안 두통 지니다 살다 두통 심하다 대학 병원 검사도 받다 검사도 받다 이상 없다다 뒤 계속 두통 지속 전 종합 검진 찍다 이상 없다다 하다 병원 다니다 보다 긴장성 두통 하다 맛사지 받다 보고 운동 해보다 두통 클리닉 한의원 가다 서도 치료 받다 증상 호전 두통 괴롭다 증상 말 표현 힘들다 증상 가지다 병원 가다 때 의사 선생님 어떡하다 아프다 물어보다 모라 대답 하다 모르다 정도 증상 설명 어렵다 평소 머리 무겁다 아프다 때 머리 터지다 좋다 생각 들다 정도 머리 터지다 같다 머리 들다 걷다 때 머리 돌리다 때 걸어가다 돌아보다 때 앉다 일 하다 때 평상시 생활 어지럽다 느끼다 평소 생활 힘들다 정도 어지럽다 증 돈 뜨다 느낌 하다 모라 말로 표현 없다 증상 오다 지금 미세 손떨림 있다 앉다 뒤 넘어가다 꺼 같다 느낌 드다 병원 다니다 식 두통 나오다 마음 이렇다 글 올리다 뇌 이상 있다 증상 오다 아니다 만성 두통 인하다 힘들다 답변 부탁드리다 두통 생활 무기력 아무것 하다 싫다 낫다 활기차다 생활 하다 마음 도와주다,두통
요즘 이상 머리 아프다 한번 두통 오다 아프다 정도 되다 사라지다 두통 하루 오다 검다 색 부분 통증 오다 이러다 걸다,두통
안녕 잦다 두통 시달리다 평소 감기 달다 살다 감기 두통 모르다 고등학교 학년 학년 동안 여 번은 갔다오다 같다 잠 자다 일어 나도 머리 어지럽다 경우 많다 일상 생활 중 돌다 경우 있다 예전 인가 찍다 하다 없다 하다 찍다 감기 동행 일상적 두통,두통
