sentences,category
마르다 체형 길다 지나다 달 해외 배낭여행 돌아오다 되다 체중 키다 로 키다 로 키다 로 줄다 이후 지속적 줄다 현재 키다 로 까다 줄다 특별 히 아프다 곳 없다 현기증 납 니다 취침 시간 체중 감소 이전 시간 정도 중간 깨다 하다 업무 바쁘다 없다 개인사 심리적 스트레스 있다 건강 검진 연속 갑상선 종 발견 하다 갑상선 문제 관련 증상 없다 문제 과 진찰 받다 하다 알리다,체중감소
나이 흡연 키 몸무게 일다 쯤 터 하다 지금 가슴 통증 가슴 조 임 살다 지금 고통 질문 하다 쯤 부정맥 심장 뛰다 하다 멈추다 뛰다 일 동안 반복 되다 집 근처 내과 가다 심전도 검사 하다 부정맥 크다 병원 가다 검사 하다 근처 있다 대학 병원 가다 시간 심전도 운동 부하 검사 하다 정상 하다 심장 초음파 검사 후 같다 증상 있다 정상 참다 되다 가슴 호흡 않되다 응급실 가다 지금 동안 정도 갈다 같다 응급실 피검사 심전도 검사 흉부 검사 하다 이상 없다다 시간 정도 있다 집 간적 있다 쯤 동 수원 병원 가다 시간 심전도 심장 초음파 검사 하다 그때 시간 심전도 상 부분 이상 나오다 의사 선생 남 보다 괜찮다 하다 보내다 이상 부정맥 같다 증상 트다 정도 지속 괜찮다 하다 참다 병원 심전도 검사 하다 그렇다 이상 판결 나오다 달 괜찮다 달 가슴 통증 반복 고통 생활 하다 쯤 체중 감소 지금 정도 감소 되다 아푸다 오다 성빈 센트 병원 가다 종합 검진 하다 되다 종양 표시 자 검사 간암 대장암 대 소변 검사 생화학 검사 갑상선 기능 검사 면역학 검사 혈액 검사 신체 검사 위 내시경 검사 하다 가깝다 비용 하다 폐활량 부족 위 내시경 위축성 위염 십이지장 부 변형 형 감염 연역 정상 판결 나다 종 양 표시 자 검사 정확도 정 폐활량 부족 제가 간접 흡연 하다 폐 이상 있다 가슴 최근 폐 검사 하다 정상 판결 나다 쯤 대 병원 심장 초음파 검사 하다 이상 없다다 하다 집 안정 취하다 되다 하다 최근 호흡 곤란 오다 집 밖 나가다 두렵다 참고 쯤 위 내시경 검사 하다 헤다 리코 박 터 균 역류 식도염 있다 약 먹다 최근 내시경 하다 때다 이상 없다다 나오다 식도 염 가슴 통증 있다 아니다 같다 현재 증상 가슴 쓰리다 가슴 멀다 쥐어짜다 느낌 왼쪽 가슴 아래쪽 갈비뼈 안쪽 조이다 증상 호흡 곤란 체중 감소 항문 출혈 있다 항문 외과 가다 치열 하다 좌 욕하다 괜찮다 까다 항문 출혈 있다 여 가슴 쥐어짜다 증상 심하다 아프다 시간 지속 증상 병 여 취업 하다 하다 때 메 취업 미루다 사랑니 때 메 염증 목 뒤 넘어가다 폐 심장 영향 주다 심 사망 하다 관련,체중감소
고 남자 학생 전 운동 이하 않다 동안 개 빠지다 같다 요즘 배고프다 숟갈 먹다 배부르다 지네 아 요즘 자주 졸리다 잠 자도 졸리다 학교 보내다 시간 반 자다 같다 따르다 정상 여 이러다,체중감소
전형적 부분 비만 팔 얇다 아랫배 허벅지 부분 군살 많다 체중 즈음 잇다 모르다 사이 살이 찌다 살 빼다 헬스장 운동 한지 정도 접어들다 일주일 유산소 운동 이상 하다 웨이트트레이닝 스트레칭 하다 계속 살이 빠지다 담당 의사 정신 전문의 물어보다 운동 살 빼다 태 엘 가야 하다 하다 정 도로 운동 하다 하다 뜻 이 의사 말 사실 어떻다 균형 잡히다 몸매 만들다 체중 감량 있다,체중감소
안녕 올해 되다 청년 사다 때 늘다 체 중이 변화 없다 정도 영업 하다 일 이 안되다 집 스트레스 받다 그러다 체중 동안 정도 빠지다 후 체중 변화 없다 변 보다 피 나다 고 점액질 변 나오다 노 색 거품 같다 변 나오다 혈변 변 보다 때 항문 물총 쏘다 선 홍 빛 피 나오다 병원 가보다 하다 먹다 살기 가다 되다 그러다 가요 음주 하다 스트레스 받다 답변 부탁드리다,체중감소
올해 세가 되다 새신랑 다르다 한참 단꿈 젖다 하다 새신랑 하다 고민 증상 생기다 지식인 여쭈다 작년 월경 결혼 하다 결혼 당시 몸무게 운동 식이 요법 덕분 기존 대의 비만 형 정도 빼다 결혼 마치다 올해 예전 비하다 갈증 표현 하다 입안 해지다 침 마르다 현상 발생 처음 장만 집이 건조 여기다 대수롭다 생각 평소 원래 물 마시다 물 음료수 섭취량 많다 하다 그때 소변 보다 일 늘어나다 되다 원래 제가 자다 배고프다 때 일어나다 타입 요 근래 자다 소변 일어나다 돼다 크다 걱정 없다 문제 체중 지속적 빠지다 전 목욕탕 몸무게 재 어다 보다 결과 되다 운동 하다 감량 되다 원래 식탐 많다 하다 식사량 줄다 하다 의식적 식사량 예전 비하다 먹다 아프다 증상 없다 입안 침 마르다 현상 살이 빠지다 현상 걱정 생기다 어떠하다 현상 좋다 조언 진하다 하다,체중감소
피임약 트리 라 복용 하다 제가 리 덕 티다 복 용 하다 제가 체중 증가 걱정 되다 약 복용 체중 감소 효과 보다 의사 선생님 이삼일 알 정도 복 용하 하다 달 처방 받다 지금 달 먹다 제가 지나다 겨울 보라 복용 하다 체중 증 가라다 몸 붓다 살이 오르다 심하다 정도 전체적 살이 찌다 가슴 배 살이 찧다 힘들다 몸 둔하다 같애다 약 식욕 땡기다 같다 지금 몸무게 유지 하다 알아보다 트다 라 먹다 방법 복잡 그렇다 괜찮다 하다 리 덕 티다 복 용 중단 하다 리 덕 티다 복 용 중단 피임약 복용 체중 증가 걱정 되다 트리 라 체중 증가 걱정 없다 그리다 여드름 부작용 없다,체중감소
서울 삼성 병원 달 간 다니다 혈소판 수가 처음 감소 되다 작년 백혈구 수치 감소 문제 입원 하다 있다 병명 정확 알다 기구 병 가능성 이 있다 하다 이번 혈소판 수치 떨어지다 기구 병과 무관 늘다 하다 지금 제가 걸리다 병 대하다 알다 교수님 말씀 안하다 이번 주 입원 골수 검사 정확 알리다 조심 조심 알리다,체중감소
아버지 올해 이시다 여 올해 계속 체중 듣다 드시다 예전 생활 식사 하다 일 하다 하다 체중 줄어들다 예전 까다 달 빠지다 일상 생활 생활 하다 나이 드시다 체중 빠지다 걱정 되다 여 나이 드시다 배 나오다 좋다 같다 아버지 말라보 체구 작다 몸무게 줄어들다 걱정 많다 병원 예약 하다 놓다 하다 이렇다 몸무게 줄어들다 알리다 주세 여 답변 당 라 주세 열다,체중감소
아버지 목 혹 있다 현재 결핵 보균자 이시다 결핵 치료 하다 얼마 전 병원 백혈구 수치 떨어지다 오늘 검사 백혈구 수치 떨어지다 크다 병원 가보 진단서 같다 주다 백혈병 만약 백혈구 수치 떨어지다 어떻다 되다 치료 방법 어떻다 되다 궁금하다 걱정 되다,체중감소
