sentences,category
어제 새벽 자다 눕다 갑작스럽다 오한 고열 허리통증 느끼다 몸 전체 떨리다 허리통증 오른쪽 이 심하다 붇다 고열 여름 이불 덮다 잠들다 잠 집 있다 해열 진통제 먹다 잠들다 지금 허리통증 고열 계속 춥다 덥다 하다 온몸 쑤시다 몸살 같다 그동안 몸살 심하다 같다 빠르다 답변 부탁드리다,고열
고열 앓다 약간 탈모 거림 자라다 두피 열감 신 거림 증상 생기다 진액 혈 부족 생기다 증상 집 한약 달이다 복용 하다 약재 쓰다 하다 답변 부탁드리다,고열
고열 응급실 찾다 사가 원인 찾다 이것저것 묻다 소변보다 후 하다 있다 느다 질문 주 그리하다 답 지금 고열 상관 없다 목 심하다 붓다 결론 하다 그리다 복부 이곳저곳 누르다 아프다 하다 어다 들다 단순 목감기 고열 결론 피검 사상 염증 수치 높다 하다 엑스레이 폐렴 보이다 만약 소변보다 후 하다 증상 있다 질병 고열 오전 화장실 갔다오다 그리하다,고열
아침 목욕 다녀오다 터 몸 실 거리 춥다 열 오르다 시작 감기다 하다 쉬다 새벽 수은 체온계 체온 재다 고열 있다 오한 구역질 있다 토 차례 약국 살다 한 반 감기약 부부 펜 먹다 효과 없었다 새벽 올르다 새벽 떨어지다 아침 동네 병원 가다 고막 체온 재다 나오다 목 붓다 설사 없이다 변비 임 소변 보다 소변 색 이상 혼탁 왼쪽 늑간 통증 있다 제외 이상 없다 통 있다 열 고열 그렇다 하다 해열제 처방 받다 몸 실 거리 먹다 주사 맞다 효과 시간 밖 가지다 안다 약효 떨어지다 몸 실 춥다 몸 아프다 아다 열 오르다 알다 원인 무엇 까다 원인 알다 치료 하다 힘들다 죽다,고열
안녕 하세 전 크다 수술 해보다 적두 없다 몸 건강 잔병 례도 없었다 몸 원래 많다 손발 뜨겁다 편이 예 작년 아프다 열 나다 감기 걸리다 감기 아니다 가깝다 고열 나다 하다 작년 쯤 신우 염 한번 일주 일정 입원 하다 달 재발 일주일 정도 입원 하다 우신 염도 증상 고열 온몸 맞다 아프다 오한 생기다 그다 신우 염 증상 요즘 자주 열 힘 듣다 몸 이상 생기다 까다,고열
어머니 추석 즈음 간암 판명 받다 색 전술 받다 간암 중기 데 간 심하다 농양 인하다 고열 가량 병원 고생 간 기능 세포 좋다 상 태다 간이 수술 하다 커지다 하다 간 절제술 수술 권유 수술 받다 이상 수술 결과 농양 장기간 동안 터지다 장기 썩다 만들다 하다 그리하다 십이지장 자르다 잇다 수술 동시 하다 듣다 수술 되다 스다 중환자실 이틀 일반 병실 옮기다 주전 퇴원 일전 촬영 하다 그동안 열 없다 식사 잘하다 상태 양호 어제 이상 나다 무기력 증세 나타나다 시작 아다 무리 인터넷 찾아보다 간 절제술 이후 고열 무기력 증세 대하다 찾다 없다 글 쓰다 되다 내일 모래 병원 인터넷 상의 의사 선생님 소견 듣다 혹 간이 자라나다 낳다 있다,고열
남아 고열 나다 목 아프다 문의 드리다 하다 달 전쯤 정도 열 나다 목 아프다 하다 병원 가다 목 붓다 처방 하다 나도 열 떨어지다 목 아프다 중이염 오다 항생제 짓다 항생제 먹이다 증상 좋아지다 나아지다 약 먹다 되다 하다 먹이다 항생제 보통 주 먹다 하다 하다 일 짓다 먹다 그러다 후 보름 지나다 위 같다 증세 발병 이번 중이염 없었다 열다 꽃 빨갛다 땀띠 조그맣다 온몸 돋다 바이러스 하다 항생제 짓다 정도 먹다 열 내리다 목도 안 아프다 몸 낳다 두드러기 없다 중이염 바이러스 항생제 처방 하나 항생제 먹다 약 이상 안 먹다 되다 하다 낫다 하다 약 먹다 지나다 고열 목 아프다 증세 오다 중이염 오다 그러다 모르다 하다 달도 안 동안 같다 증세 반복 걱정 이만저만 아니다 감기 같다 감기 인하다 열 떨어지다 좋아지다 예전 감기 오다 목 통증 목 아프다 지나다 기침 콧물 나다 그러다 증세 오다 이번 증세 코 아무렇다 기침 한번 안하다 목 아프다 열 며칠 지속 밤 나다 낮 좋아지다 밤 오르다 하다 그렇다 열 계속 지속 해열제 먹이다 냉매 팩 머리 얹다 괜찮다 방법 모르다 감기 인하다 열일 때 지금 해열제 한번 먹이다 냉매 해 다음날 아침 떨어지다 좋아지다 해열제 열 떨어뜨리다 효과 지다 병 상관없다 민간 요법 열 떨어뜨리다 있다 해열제 안 먹이다 되다 병원 해열제 먹이 하다 해열제 안 먹이다 잘못 있다 며칠 이어진 있다 냉매 팩 계속 아이 힘들다 하다 없다 괜찮다 모르다 항생제 먹이다 걱정 괜찮다 항생제 항생제 이기다 의사 처방 달리하다 먹다 젓 먹다 하다 불안 며칠 간격 먹다 이러다 항생제 내성 생기다 어쩌다 걱정 되다 어린애 독 항생제 먹이다 같다 가슴 아프다 항생제 먹다 하다 인후염 그러다 의심 되다 인후염 심하다 중이염 가다 하다 절 제하다 방법 있다 단순 목감기 편도염 병 알다 없다 지금 이렇다 한번 없다,고열
제가 이틀 전 감기 몸살 고생 조퇴 집 쉬다 자다 일어 보다 열 엄청나다 온도계 열 재보 까다 도가 나오다 심하다 물수건 머리 식히다 자다 다음날 쉬다 자다 오늘 학교 가다 가 이상 느낌 나다 꿈같다 느낌 하다 정신 혼미 공부 집 중이 안 완전 뇌가 이상 해지다 같다 느낌 서 이렇다 물어보다 인터넷 처 보다 고열 지속 산소 부족 손상 있다 하다 물 수건 열 식히다 이렇다 모르다 뇌손상 건 가요 회복 잠자다 일어나다 회복 회복 방법 알리다,고열
어제 새벽 눈 뜨다 오한 들다 머리 어지럽다 목 아프다 가급적 병원 안 가다 낫다 해보다 생각 어머니 사다 주신 약 데우다 쌍화탕 정도 먹다 잠들다 땀 나다 조금 증세 가볍다 같다 공부 하다 평상시 행동 하다 그날 밤 오한 고열 체하다 속이 하구 울렁거리다 나아지다 심 해지다 하다 기본적 오한 고열 있다 밤 새 잠 자다 고통 뻐기다 결국 병원 가다 의사 선생님 목구멍 보다 주사 약 주다 하다 나아지다 거점 병원 가보 제가 검색 해보다 목 아프다 기침 안하다 보다 선 같다 가격 비싸다 검사 보다 염두 내다 그렇다 몸 사다 감기 말 되다 어다 하루 종일 자다 때 일 옷 두껍다 껴입다 이불 머리 뒤집다 쓰다 떨다 몸 뒤적거리다 잠 자다 지금 주사 맞다 약 먹다 하다 그러다 진 모르다 상태 낫다 밤 증세 심 해지다 보다 두렵다 병원 옷 가볍다 입다 열다 내리기 위해 이불 덮다 하다 지금 추우다 덮다 아니다 치우다 하다 자다 때 춥다 참다 이불 자야 내려가다,고열
지금 고열 집 쉬다 그러다 처음 종합 병원 가다 검사 받다 최고 높다 온도 그러다 주사 맞다 괜찮다 졸리다 잠 듣다 일어나다 열 높다 어지럽다 두통 있다 그러다 밤 온도 올라가다 집 체온계 있다 귀 다그다 하다 입 항문 겨드랑이 하다 입 온도 재 보다 바뀌다 되다 예 듣다 떨어지다 도로 급 상승 병원 하구 아다 그리다 추가적 목 아프다 증상 인후 통 걱정 되다 모르다 입 다그다 하다 체온계 정상 체온 도 얼굴 빨다 지다 그렇다 쪽팔리다 변이 일 나오다 속이 하다 주세 급,고열
