sentences,category
증상 시경 약간 두통 시작 눈가 오른쪽 윗부분 일정 주기 양쪽 거리 고통 있다 별일 아니다 하다 타이 레 놀다 알 먹다 잠 듣다 다음날 머리 아프다 온몸 열 나다 몸살 감기 사우나 하다 땀 빼다 감기약 점심 과 아스피린 저녁 도 먹다 시경 관절통 생기다 몸 힘 빠지다 머리 계속 아프다 아침 중앙대 병원 가다 증상 말씀 드리고 검사 받다 받다 집 오다 병원 음성 반응 나오다 문 자가 오다 지금 저녁 시간 식사 중 구토 기운 생기다 식욕 떨어지다 심장 박동 머리 양쪽 지끈거리다 하다 고개 숙이다 움직이다 시 통증 심하다 의심 병 있다 빠르다 말씀 부탁 드리다,관절통
제가 나이 신검 받다 혈액 검사 백혈구 부족 검 뜨다 달 뒤 검 하다 가다 피검사 하다 백혈구 수치 떨다 하다 검 뜨다 정확 수치 모르다 얼마 전 대학 병원 가다 혈액 검사 해보다 백혈구 수치 낮다 정상 수치 경과 지켜보다 하다 그때 보다 수치 그리하다 제가 지속적 무릎 팔꿈치 관절통 계속 있다 피 뽑다 날 하다 아랫배 오른쪽 가다 누르다 느낌 아프다 때 있다 요통 오다 열 없다 두통 오다 신체 일부분 지속적 가려움 있다 부위 얼마 주기 바뀌다 요즘 팔 가렵다 요즘 소화 안되다 감기 기운 있다 백혈병 아니다 꺼 주위 말하다 걱정 되다 병 있다 같다 부모님 숨기다 같다 만약 백혈병 아니다 정확 병명 짐 작가 시다 부탁드리다,관절통
불건전 성관계 하다 이후 에이즈 매독 검사 음성 받다 주 진이 말 주 검사 받다 결과 정상 나오다 주 때 인가 근육 꿈틀거리다 시작 주 되다 지금 꿈틀거리다 꿈트다 말다 근육통 관절통 여기저기 돌아다니다 같다 하다 증상 도와주다,관절통
살의 남자 평소 술 마시다 주 쯤 음주량 보통 소주 병 정도 주량 병 반정 마시다 한번 많다 양 마시다 다음날 무릎 엄청나다 아프다 걷다 정 도로 그다 그러다 아니다 달 한번 정도 병원 엘 가다 통풍 같다 하다 하다 모르다 같다 진통제 처방 한의 원도 가다 효과 없다 병명 다르다 찜질 해보다 파스 붙이다 효과 전무 그렇다 손발 차서 레 놀이 혈액순환 복용 그때 술 마시다 통증 없다 약 끊다 아프다 복용 아프다 참 아프다 당시 아스피린 먹다 후 통증 가다 앉다 한번 서질 나다 때리다 동그랗다 까맣다 드다 죽다 피 같다 이 올라오다 말씀드리다 같다 전 고통 업무상 술 마시다 없다 병원 가다 봐다 이렇다 말다 답변 부탁 드리다,관절통
다리 팔 시리다 아프다 때 있다 성장 통 생각 들어스다 아프다 병원 가보다 지하 생각 해보다 버스 정류장 전광판 말단 비대증 대하다 자가 진단 뜨다 보다 근육통 관절통 있다 낮잠 오다 두통 있다 이렇다 맞다 예 제가 지금 고등학생 키 일다 부모님 크다 유전적 이유 있다 생각 걱정 되다 손가락 두껍다 살이 생각 몸무게 줄다 오늘 내과 가다 팔다리 시리다 두통 있다 말하다 진료 받다 진통제 근육 풀다 약 위장약 처방 그다 위장약 제가 말단 비대증 아니다 하다 걱정 의사 선생님 말씀드리다 약 먹다 진전 없다 오라 하다 그러다 검사 대학 병원 가다 하다 하다 부모님 모시다 호르몬 검사 하다 호르몬 검사 하다 비용 정도 입시 스트레스 받다 죽다 요새 걱정 미치다 팔다리 시리다 아프다 공부 집중 의사 선생님 답변 듣다,관절통
안녕 하세 기재 내용 어머니 몸 상태 말하다 전 몸매 유지 몸 디스크 로 인해 과다 체중 늘다 남 폐경 우울증 겹치다 현재 어머니 몸 상태 대하다 말씀드리다 목뼈 휘어지다 보통 앞쪽 쏠리다 사람 대부분 어머니 오른쪽 돌아가다 상태 정면 바라보다 있다 돌아가다 상태 있다 목 오른쪽 돌아가다 상태 피곤 때 어깨 주무르다 근육 이름 모르다 이 뭉치다 건강 성인 남자 주무르다 통증 느끼다 목 통증 인하다 수면제 드시다 하루 이상 복용 걱정 잠 주무시다 서다 잠 시간 자다 통증 깨다 주무시다 깨다 하다 통증 완화 목적 광주 그리하다 괜찮다 전 남 대학 병원 치료 받다 치료 방법 목 통증 완화 위하다 근육 주사 맞다 기억 헐다 별다르다 효과 보다 잦다 엑스레이 요구 요구 때 촬영 하다 정확 치료 방법 제시 약물 치료 병행 시간 두다 보다 하다 그러다 괜찮다 엑스레이 찍다 보다 하다 약 물 치료 한계 있다 물리 치료 받다 약물 치료 자체 이해 되다 목 휘어지다 통증 완화 주사 맞다 일시적 통증 완화 방법 아니다 하다 짧다 지식 나오다 생각 현재 광주 기독교 병원 치료 받다 환자 알아먹다 게 마약 성분 스티커 몸 붙이다 통증 완화 어머니 통증 없애다 도움 되다 하다 하다 장 장사 오시다 어처구니 없다 병원 마찬가지 물리 치료 권장 약물 치료 반복 엑스레이 촬영 약물 치료 근육 맞다 주사 목뼈 휘다 사람 도움 되다 걸다 근본적 뼈 휘다 물리 치료 바르다 자세 통하다 교정 방법 도움 되다 꺼 라 생각 약물 주사 일시적 도움 되다 차 후 별 도움 없다 약물 주사 어머니 이제 내성 생기다 약물 주사 맞다 똑같다 하다 전문 분야 계시다 의사 들다 스다 조금 속 답변 부탁 드리다 목뼈 휘다 상태 지속 척추 측만 증 증상 생기다 하다 척추 측만 증 도움 되다 자세 어떻다 있다 목뼈 휘어지다 상태 관련 속 메스껍다 하다 정도 쓰러지다 정도 있다 깨다 후 쓰러지다 기억 추운 겨울 덥다 하다 현상 목뼈 휘어지다 상태 관련,관절통
달 전 발등 찌르다 아프다 시작 발목 무릎 손목 골반 뼈 쇠 골 뼈 머리뼈 아프다 아프다 아니다 돌아가다 한군데 아프다 아프다 잠깐 아프다 뼈 말다 혈관 아프다 근육 아프다 모르다 허벅지 뒤쪽 종아리 엉덩이 옆구리 아랫배 잠깐 하다 아프다 이상 입 안 헐다 예전 정도 헐다 요즘 헐다 헐다 다 낫다 때쯤 헐다 반복 이렇다 증상 나타나다 병,관절통
안녕 남자 친구 가요 결핵 약 먹다 시작 결핵 약 먹다 머리 아파하다 원래 약 먹다 그렇다 머리 아프다 아프다 하다 두통 정도 줄이다 있다 방법 없다,관절통
남자 친구 폐결핵 약 일 먹다 기침 시작 지 달 반 넘다 처음 고열 기침 의심 타다 미 까치 처방 받다 먹다 달 전 종합 병원 가다 신속 키트 검사 하다 음성 판정 나다 엑스레이 찍다 폐렴 같다 폐렴 약 일주일간 먹다 후 증상 호전 병원 찾다 내시경 하다 하다 내시경 가래 채취 검사 하다 결핵 군 결핵 약 처방 받다 먹다 고열 나다 눈동자 노래지다 아침 먹다 때 토 같다 소변 붉어지다 힘 없다 무력감 들다 증상 나타나다 어지럽다 하다 배 구부리다 찌르다 통증 있다 하다 항결핵 의하다 간염 하다 걱정 되다 작년 건강 검진 하다 때 지방간 있다 하다 원래 결핵 약 복용 나타나다 증상 아니다 부작용 병원 가보다 하다,관절통
결핵성 복막염 진단 받다 월 약 복용 약 복용 이후 피부 가렵다 긁다 물집 생기다 부작용 알리다,관절통
여자 친구 얼마 전 폐결핵 진단 받다 치료 있다 주 치료 받다 아침 공복 알약 알 하루 먹다 하다 궁 건 여자 친구 서다 나타나다 증상 말 주 배 고프다 하면서 먹다 주 지나다 저녁 쉽다 피곤 해하다 차안 얘기 중 잠 자다 요즘 자다 남자 친구 옆 두다 하다 하다 생각 드다 치료 과정 겪다 보다 여자 친구 이해 힘들다 무관심 같다 몸 피곤하다 무기력 하다 예전 같다 여자 친구 보다 스다 운하 기도 하구 치료 받다 힘들다 거구 하다 생각 하다 이해 가다 그리하다 남친 옆 있다 잠 자다 치료 받다 시작 일반적 몸 나타나다 증상 궁 오해 푸다 있다 답변 좋다,관절통
