sentences,category
안녕 해외 있다 병원 방문 병원 가다 약물 인하다 순간적 호전 글 올리다 여 트다 한 피부 이상한 증상 이유 없다 소양감 긁다 부풀다 빨개지다 아토피 알다 예전 학교 아토피 있다 아이 보다 저러다 증상 있다 그러다 피부 묘기 증 하다 그때 약 타다 오다 후 유학 오다 대충 항 먹다 하다 증상 이상 어쩌다 때 긁다 아무렇다 올르다 오다 예 듣다 병원 진단 받다 갈다 경우 가 때 맞다 긁다 심 때 올라오다 여 트다 최근 밤 그러다 이유 어다 디다 에다 시작 온몸 소양감 옮겨다니다 턱 이마 얼굴 팔 다리 배 무작위 부위 옮기다 다니다 그러다 힘들다 발바닥 발 주변 발가락 손바닥 손가락 힘들다 손가락 같다 델다 간지럽다 시작 별수 만지다 되다 스다 손 부풀다 오르다 발바닥 정말 약 먹다 하다 지나다 가라앉다 하다 약 먹다 없다 치료 방법 있다 참고 체질 알다 지성 어리다 때 알다 지성 비염 심하다 앓다 현재 없다 렌즈 끼다 하드 소프트 막 눈물 폭포 간지럽다 눈 부심 성격 관계 있다 길다 자세 답변 부탁드리다,소양감
몸 전체적 간지럽다 소양감 있다 성기 주변 딱지 하다 혈병 생기다 다발 고름 생기다 자주 올라오다 마지막 성 관계 직업 여성 콘돔 끼다 하다 걸리다 같다 몸 부위 꺼 듣다 없다 피부색 하얘지다 표현 맞다 같다 검색 해보다 사면 발 늘다 보다 그러다 궁금하다 올려보다,소양감
안녕 하세 초밥 참치 생선회 돼지고기 좋아하다 대한민국 청년 다르다 기생충 관련 질문 하다 제가 살아오다 한번 구충제 먹다 평소 기생충 있다 걱정 하다 정도 얼마 전 약 전 등 근육 특정 부위 가다 르 움직이다 느낌 받다 이후 하루 이틀 간격 부분 이상 기어다니다 느낌 계속 받다 짜다 짜다 잘하다 느낌 가다 뱀 같다 움직이다 느낌 움직이다 느낌 나다 제가 손 부분 누르다 하다 멈추다 요즘 증상 나타나다 하루 그러다 경우 있다 처음 신경 문제 가벼운 소양감 알다 계속 이렇다 느낌 나다 무섭다 통증 없다 기생충 검사 법 없다,소양감
작년 정도 터 피부 묘기 증 증세 시작 제가 생각 하기 연어 기름 알약 같다 엄마 줄다 먹다 그러다 같다 심하다 병원 가보다 알레르기 약 처방 검색 피부 묘기 증 관하다 질문 올라오다 그중 심하다 사람 치료 정도 괜찮다 글 보다 제가 이틀 알레르기 약 알 먹다 이틀 먹다 되다 몸 간지럽다 어다 디 긁히다 가렵다 정도 심하다 치료 필요 정도 답변 부탁드리다 치료 되다 정도 나아지다 있다 답변 부탁 드립 니다,소양감
저다 지금 다리 간지럽다 일주일 전 간지럽다 아토피 있다 아니다 긁다 따갑다 부어오르다 긁다 부분 벌개지다 피부 건성 때 밀다 다리 전체 하얗다 일어나다 최대한 히 밀다 그러다 간지럽다 죽다 친구 긁다 피나다 병원 가다 피부 피부 걸리다 약 주고 그리하다 덜다 피 나다 그렇다 병원 가보다 하다,소양감
아토피 맞다 지 모르다 갑자 날 자다 일어 보다 허벅지 위쪽 사타구니 안쪽 타원형 상처 입다 피부염 생기다 피부염 생기다 모르다 아프다 약간 고름 같다 나오다 같다 손 대면 간지럽다 긁다 되다 그러다 상처 벗기다 되다 악취 있다 중요 남성 성기 옆 부분 걱정 갈다 병원 가다 피부과 가야 중요 부분 옆쪽 민망 하다 모 정리 같다 하다 하다 하다 걱정 앞서다 병원 가야 때 주의 하다 점 증세 대하다 알다 게시 알리다 주세 부 드리다 내공 걸다,소양감
예전 몸 간지럽다 긁다 하다 부풀다 오르다 피부 글씨 쓰다 아토피 있다 주말 화장독 올르다 오늘 피부과 가다 기묘 증과 알레르기 있다 하다 치료 일주일 한번 받다 하다 피부과 처방 약 먹다 완치 되다 하다 사실 밤 되다 가려움 심하다 긁다 긁다 부풀다 오르다 동그랗다 점도 생 기구 아토피 있다 피 나다 그러다 완치 어떻다 하다 하다 지금 간지럽다 미치다 그리다 기묘 증 치료 어떻다 하다,소양감
피부과 하다 돼다 모르다 답변 부탁드리다 제가 어리다 터 아토피 여 병원 들다 낙 요새 학교 가다 주 위 약국 처방전 구하다 있다 후 디다 마 데카 솔 바르다 상처 있다 몸 두드러기 나다 크다 병원 가다 박토 르 반 약 받다 바르다 수그러들다 이유 머다 요새 몸 작다 통증 생기다 붙이다 파스 붙이다 기가 맺히다 붙이다 아래 얼음장 되다 파스 붙이다 도와주다,소양감
되다 여아 완전 모유 수유 하구 이유식 시작 주되다 태어나다 신생아 여드름 생기다 정도 되다 가라앉다 후 덥다 그러다 목 사이 겹쳐지다 부분 등에 땀나다 먼지 끼다 이러다 심하다 나다 그리하다 그러다 때다 리 연 고 발르다 낫다 연고 쓰다 괜찮다 첫째 애기 떄 쓰다 얼굴 눈 사이 애기 귀 긁다 긁다 그러다 덜다 어른 엄지 손톱 지이다 자국 생기다 빨갛다 되다 씻다 개다 같다 하다 보다 버즘 일어 있다 괜찮다 하다 두다 반대편 생기다 건조 같다 로션 발르다 생각나다 때 로션 발르다 나아지다 같다 한데 턱밑 생기다 턱밑 없다 이유식 생기다 면적 넓다 가요 얼굴 그렇다 알다 다리 양쪽 무릎 위 같다 증상 생기다 다리 하다 걸다 알다 보다 얼굴 생기다 생기다 반점 있다 엉덩이 부분적 있다 등에 하다 나다 옷 벗기다 다리 같다 빨갛다 벌레 물리다 조그맣다 붉히다 있다 그리하다 집 먼지 진드기 모르다 이불 털다 하다 붉히다 가려워하다 같다 수유 제가 먹다 음식 문제 있다 싶다 이렇다 아토피 여자 아이 걱정 글 구 되다 아들 있다 모유 수유 젖 떼다 때 두유 먹이다 먹다 순간 보다 눈두덩 나다 울다 도드라지다 그다 몰르다 두유 먹이다 좋아하다 코 부분 하다 내려오다 하다 때 유 끊다 그리하다 조금 었다 코 옆 부분 눈 위 남다 해 그리다 지금 밥 먹다 때 두부 같다 주다 괜찮다 전쯤 하다 어린이집 다니다 시작 눈두덩 가다 올라오다 보다 간식 검다 콩 우유주 걸 보다 콩 그렇다 음식 알레르기 오다 몸 나타나다 그러다 그러다 같다 건 가요 아이 얼굴 그렇다 신경 쓰이다 스트레스 알다 없다 고민 상 세한 답변 부탁드리다 상 세한 답변 부탁드리다,소양감
청년 어리다 때 조금 긁다 긁다 자국 부어오르다 이때 아무렇다 않다 피부 약하다 생각 살 앗다 대학 들어가다 조금 긁히다 붓다 친구 장난 몸 글씨 쓰다 긁다 곳 글씨 부어오르다 남 보다 부끄러워지다 같다 아토피,소양감
오래전 귓속 진물 고르다 이 나오다 오래되다 통증 소리 낳다 때 있다 귓속 면봉 넣다 양쪽 다 진물 나오다 끈 하다 한쪽 심하다 통증 심하다 붓다 막히다 상태 이상 이비인후과 가다 별다르다 처방 안 조심 하다 무엇 그렇다 알다 주세 법 알다,소양감
연속 집 잇다 때 밤 눈 간지럽다 눈병 같다 그렇다 간지럽다 눈 비비다 간지럽다 눈병 아니다 히 아빠 담배 피다 때 그렇다,소양감
팔 손톱 날카롭다 긁히다 되다 부어오르다 가리다 다니다 여름 되다 반팔 입다 어다 디다 부딪히다 되다 긁히다 부어오르다 보기 흉측 남자 그러다 크다 문제 없다 사람 눈 띄다 수영장 해수욕장 가기 힘 들다 문제 근처 피부과 다니다 피부 약하다 그렇다 하다 정확 답 내주다 약 처방 심 때 먹다 하다 먹다 낫다 하다 사람 말로 약도 처음 나다 듣다 나중 강도 올리다 먹다 하다 말 있다 조금 두렵다 지나가다 금속 책상 군대 샤프 책가방 긁히다 부어오르다 피부 곤란 많다 조금 도와주다 있다,소양감
죽다 아토피 피부 아토피 없다 예 전 인중 부분 피부과 가다 진단 받다 침 묻히다 그렇다 그러다 그때 그렇다 습관 고치다 순간 생각 겨울철 여름철 구별 항 상 입술 입술 밑 부분 트다 전 항 립 밥 바르다 입술 밑 부분 로션 바르다 물 씻다 트다 하얗다 일어나다 학교 점심 시간 되다 양치 립 밥 입술 바르다 로션 없다 떄 문 밑 피부 까다 립 밥 발르다 미치다 트다 심하다 정도 그렇다 립 밥 발르다 이러다 정말 어떻다 하다 좋다 아다 침 그다 손 입술 만지다 습관 병원 갈다 하다 괜찮다 이렇다 입술 트다 간이 좋다 구체적 좋다 참고 절다 소음인 이구 답변 부탁,소양감
제가 아토피 년 앓다 전쯤 병원 알레르기 검사 하다 등에 바늘 하다 집 먼지 진드기 강아지 털 두개 정도 나오다 음식 관련 건 반응 아토피 먹다 조심 되다 먹다 먹다 되다 그러다 전 알레르기 검사 음식 관련 알레르기 고하다 먹다 건상 관 없다 먹다 되다 요즘 신경 쓰이다,소양감
아토피 있다 피부과 다니다 약도 먹다 처방 주시 연고 바르다 중 고등학교 때 좋아지다 예 민 먼지 많다 무엇 조금 먹다 몸 반응 일어나다 그러다 제가 몸 붓다 일주일 전 호박 즙 먹다 하루 팩 정도 다이어트 좋다 하다 치아 시드 성분 함유 하다 약 먹다 착각 개 먹다 몸 가렵다 그렇다 허벅지 팔뚝 배 가슴 가렵다 계절 바뀌다 그리하다 그렇다 넘다 갈다 하다 혹시나 하다 마음 글 남기다 호박 치아 시드 성분 아토피 좋다 영향 있다 있다 사람 다르다,소양감
올해 살 학생 예 어리다 때 아토피 있다 어리다 때 병원 다니다 약도 짓다 먹이다 그리하다 소용없다 먹다 중 학교 올라가다 괜찮다 중 쯤 가렵다 긁다 상처 되다 흉터 되다 흉터 피부 색 시 커다 변하다 당시 지식인 찾다 방 법인 천연 비누 써보다 연고 바르다 그리하다 없다 까다 학교 검정 킹 신다 검정 스타 킹 허용 기간 벗다 되다 스다 걱정 예 중학교 때 애 다리 그리하다 이러다 기분 좋다 그리하다 피부병 고치다 잘되다 음식 조절 요즘 음식 조절 안해 모 나다 진 않다 딱지 떼 고난 후 되다 보다 싫다 중간 중간 시 커다 매가지 보다 싫다 치료 흉터 없다 치유 좋다 같다 요즘 연고 좋다 저번 지하철 가다 본거 있다 이름 기억 나다 좋다 연고 소개 주세 가격대 알다 주시,소양감
의사 선생님 저가 학년 겨울 건조 덥다 심해 두드러기 알 르 레 가다 나다 계란 피자 치킨 우유 햄버거 먹다 아토피 심해저 지금 아토피 얼굴 있다 엄마 좋다 먹다 심해저 좋다 답변 바라다 급하다,소양감
