sentences,category
전 극하다 피로감 몰리다 오후 되다 피로 이상 숙면 피로감 없다 지질 않다 술 한잔 먹다 피로감 극한 이르다 뼈 속 깊이 피로 감이 잇다 때 근무 눕다 생각 들다 정도 어지럽다 동반 당뇨 간 기능 나쁘다 그러다 잇다,피로감
제목 하다 하다 몰르다 요즘 달 피로감 쌓이다 아무것 나이 어리다 무엇 그렇다 피곤 원래 아침 일어나다 운동 하다 수업 시간 자다 세다 아침 일어나다 힘들다 하루 종일 수업 시간 잠 자다 자다 때 건들다 주변 사람 신경질 내다 애 그렇다 자다 하다 자다 일어나다 몸 무겁다 덥다 걷다 어지럽다 요즘 코 막히다 목 가렵다 코 감기 목감기 같다 하다 주말 피로감 풀다 일어나다 때 자지 그리하다 안되다 몸 하루 종일 찌뿌둥하다 공부 책상 앞 이상 집중 힘들다 좋아하다 하다 힘들다 결국 자다 달 참 엄살 같다 있다 낳다 하다 비 두다 원 시험 코 앞 책 들어오다 혹시나 만성 피로 면 정도 같다 가다 치료 낫다 하다 알다 환절 기라 감기 겹치다 피곤 만성 피로 오다 조짐 절대 공부 하다 싫다 아니다 아다 과거 병력 비 염 중이염,피로감
일주일 전 머리 오른쪽 편두통 견디다 정도 어지럼 증세 기분 좋다 오다 속 울렁거리다 구토 하다 정도 하루 종일 피로감 있다 쓰러지다 구토 하다 아니다 두통 견디다 하다 병원 가보다 증상 심하다 같다 글 올리다 지금 피로감 눕다 ㅅ 원래 빈혈 있다 허다 혈 하려 다그다 쫓겨나다 비다 혈 증세 하다 전 느끼다 빈혈 증세 다르다 같다 병원 가다 검사 받다 하다 걸다 가슴 거리 증상 있다 빠르다 답변 부탁 들리다,피로감
임파선 붓다 초음파 결과 갑상선 물 혹 발견 크다 혹 정도 병원 혹 검사 다행 물 혹 하다 임파선 붓다 일 없다 쉽다 피로감 느끼다 회사 다니다 힘들다 상황 되다 그만두다 되다 쉬 괜찮다 생각 달이 가도 피로감 늘다 밖 나가다 힘 들다 콜센터 상담원 터다 목 귀 사용하다 그렇다 목 귀가 지속적 아다 파와 이비인후과 찾다 귀 이상은 없다 편도선 심하다 붓다 하다 심하다 붓다 편도선 귀 아프다 오다 있다 하다 일도 안 쉬다 말 피곤하다 하루 극 달하다 목도 붓다 귀 아프다 일 하다 물 혹 많다 사람 경우 피로감 영향 미치다 있다 극도 피곤 느끼다 경우 달 사이 없다 갑상선 질환 생기다 있다 갑상선 편도선 증상 연관 관계 있다,피로감
고등학교 학년 학생 최근 듣다 자다 자다 졸리다 피로감 없다 어지럽다 증상 생기다 가만있다 어지럽다 이동 때 중심 잡다 넘어지다 하다 때 있다 눈 아프다 수업 눈 감다 되다 일 많다 수면 시간 조절 하다 학업 열중 하다 시기 수면 시간 긷다 학업 지장 생기다 이러다 까다,피로감
연년생 키우다 엄마 애 둘 키우다 잠 자다 밥 먹다 힘들다 때 있다 최근 듣다 약 주 피로 감이 심 해지다 병원 찾아보다 이렇다 문의 드리다 증상 아침 일어나다 가볍다 두통 있다 졸리다 어깨 통증 아이 둘 번갈다 가다 업다 합 니다 오 골반 하체 기초 체온 상승 정도 우울감 몸 힘들다 애 짜증 내다 나중 애 미안 혼자 울기 하다 둘 모 유수 유 하루 세끼 챙기다 먹다 노력 아이 나름 규칙적 생활 하다 갑상 의심 몸무게 고 저의 증상 다르다 하다 하체 오한 오다 제가 출산 당시 골반 무리 가다 아프다 출산 인하다 문제 하다 생각 하다 증상 보다 병 의심 그리다 병원 내원 되다 답변 부탁 드리다,피로감
남자 하다 달 전 몸 힘 없다 시작 처음 몸살 같다 내원 피검사 소변 검사 받다 콜 레 수치 그다 외 이상은 없다 증상 극도 피로감 일 정도 덥다 그러다 어지럽다 있다 그리다 제가 위궤양 약 달 정도 복용 시점 터 아프다 같다 연관 없다 등 갈비뼈 아래 부분 우리우리하다 통증 있다 예전 결석 쇄석 치료 받다 경험 있다 비뇨기과 스다 하다 결석 여부 확인 특이 사항 없다 갈비뼈 맨 아래 부분 안쪽 우리하다 쑤시다 신장 이상 하다 소변 검사 하다 이상 없다 크다 병이 염 녀 도 데 체 과 검진 아다 하다 모르다 식은땀 나다 멍 과 진료 받다 하다 극도 피로감 몸 좋다 신호 하다 그리다 등 우리 그렇다 크다 병원 가다 검진 결과 알다 있다 아니다 세부적 곳 진단 하다,피로감
하루 종일 그러다 아침 일어나다 오전 밤 잠들다 전 쯤 시간 정도 맑다 콧물 약간 추 움 있다 재채기 가볍다 쯤 하다 음 피로감 있다 요즘 잠 증상 무겁다 코 싹 알약 먹다 아무렇다 달 반 정도 동안 먹다 지내다 장시간 계속 이러다 불안 피로 감도 쌓이다 아 콧물 나다 코 안 한 닿다 그다 그러다 코 간지럽다 킁킁대다 콧물 낳다 생활 불편 발열 없다 같다 증상 가볍다 어지럼증 되다 해지다 갈다 염 같다 경우 오다 전초 증상 있다 답변 하다 읽다,피로감
직장인 근래 듣다 심하다 정도 증상 있다 문의 드리다 전 아침 반 기상 새벽 가량 잠들다 하다 여 시간 가량 대중교통 이용 출퇴근 하다 아침 출근 하루 종일 책상 앉다 졸다 하다 아침 시경 졸리다 점심 먹다 졸리다 퇴근 전 시경 졸리다 뒷목 팔 저리다 와요 어깨 팔 돌리다 하다 소리 나기 하다 아침 일어 서랑 사무실 퇴근 직전 되다 팔 저리다 오다 하다 느낌 하다 엔 술 좋아하다 술 그렇다 하다 술 자제 때 그러다 걱정 담배 평소 피우다 술 마시다 때 피우다 달 갑 정도 피우다 정도 최근 금연 시도 여 당뇨 의심 되다 답변 부탁 드리다,피로감
요 며칠 사이 하루 다르다 피로감 심하다 가깝다 거리 차 타기 힘들다 차 타다 어지럽다 속 울렁거리다 식 땀 나다 어쩧다 신물 올라오다 같다 눈 안구 건조증 진단 전 받다 피곤 충혈 잘되다 잠 자다 눈 빠지다 아프다 충혈 되다 예전 전 속 울렁거리다 어지럽다 심하다 때 신경과 가보다 라 가다 어깨 침 놔주다 침놓다 순간 앞 해지다 속 울렁거리다 어지럽다 쓰러지다 같다 그러다 의사 샘 놀라다 침 빼다 응급실 가다 눕다 가라다 그러다 있다 후 병원 안 가다 약 처방 받다 먹다 지나다 괜찮다 거랑 상관 있다 이러다,피로감
