sentences,category
원래 물 먹다 먹다 요즘 갈증 오다 물 찾다 되다 먹다 안지 갈증 나다 적도 있다 제가 당뇨 걸리다 되다 갈증 오다 하다 검색 갈다 다식 달다 세가지 증상 있다 하다 전 갈다 해당 같다 식욕 예전 떨어지다 같다 별 문제 아니다 있다 갈증 심하다 걱정 이러다 알다,다뇨
사다 여자 구 술 담배 안해 지금 고등학교 들어오다 살이 찌다 당장 빼다 없다 염도 없다 짜다 먹다 입 벌리다 다니다 이전 까다 이렇다 까다 마르 없었다 최근 걸리다 난 이후 터 건조 입안 마다 미치다 만큼 입안 마다 입 안 마르다 잠 자다 학교 가야 하다 하루 평소 물 정도 마시다 최근 마시다 물 마시다 갈다 달다 있다 당뇨병 증상 체크 갈다 달다 말다 맞다 부분 없다 원래 소화 기관 좋다 위 그러다 발 좋다 당뇨 물 마시다 마자 바 입안 마르다 지금 음식 홍초 마시다 침 고이다 순간 생기다 혀 씹다 침 생기다 혀 입천장 달라붙다 느낌 내공 걷다 여 성의 있다 대답 부탁드리다,다뇨
평소 당뇨 없다 전 등반 중 왼쪽 발목 다치다 물리 치료 한의원 벌 봉침 여 차 레 맞다 후 보름 걸치다 아다 피 신 주사 치료 롤 주사 요법 인대 강화 주사 을 걸치다 발목 우측 어깨 맞다 후 일경 당뇨 현상 달다 갈다 다식 과 체중 감소 가다 나타나다 후 현상 심하다 동네 의원 가다 혈당 공복 식후 나오다 혈액 췌장 초음파 검사 읃다 혈압 콜 레스트 췌장 정상 당뇨 현상 이후 다이아 백신 아침 식후 복용 아침 저녁 시간 정도 운동 걷기 과 식사 조절 하다 있다 그러다 혈당 조절 현재 공복 식후 오르다 내리다 하다 평소 사업 술 담배 과다 건강 검진 시 콜 레스트 외 증상 나오다 체중 내외 간 지속 발목 치료 이후 나타나다 당뇨 원인 치료 올바르다 질의 드리다 운동 머리 목 뒷 떨다 미 땀 낳다 지식 선생님 좋다 답변 부탁 드리다 참고 혈압 맥박 감사,다뇨
안녕 얼마 전 직장 건강 검진 혈당 수치 나오다 공복 경우 경계 혈당치 나오다 아침 식사 하다 커피 잔 정도 마시다 피 뽑다 후 일반 병원 혈당 검사 가다 나오다 공복 아니다 다식 달다 현상 없다 그렇다 몸 요즘 이상 있다 같다 소변보다 횟수 줄다 하루 정도 소변 노랗다 거품 많다 혼탁 때 있다 증상 없다 소변 혼탁 당 소변 빠져나오다 아니다 하다 저다 당뇨병,다뇨
약 전 몸무게 빠지다 전 늘다 빠지다 체중 지금 빠지다 상태 이구 예전 회사 다니다 야근 힘들다 빠지다 하다 요즘 힘들다 일 없다 빠지다 체하다 먹다 먹다 하다 위 내시경 검사 해보다 이상 없다다 하다 피검사 별다르다 나오다 콜레스테롤 정상 전 허리 아프다 체력 지치다 쉽다 피곤 요즘 얼굴 심하다 부어 아침 딴사람 같다 정도 심하다 붓다 오후 되다 요즘 얼굴 평상시 변비 없다 주기적 변비 오다 때 있다 허리 아프다 심하다 같다 요즘 다리 저다 병원 가다 진단 받다 하다 같다 검사 받다 하다 걱정 되다 답변 부탁드리다,다뇨
어제 당 수치 검사 저녁 돼지 목심 고추장 비비다 만들다 요리 밥 비비다 먹다 호떡 시중 제품 검다 콩 우유 상당 달다 어제 쯤 컵 정도 먹다 달다 문제 밥 쯤 먹다 쯤 호떡 먹다 쯤 당 수치 검사 오늘 아침 아무것 먹다 하다 일어나다 재다 나오다 먹다 자다 문제 어제 저녁 재다 제가 오른쪽 손 다치다 얼음찜질하다 당 수치 높다 나다 하다 의아 해하다 오늘 아침 어제 먹다 소화 되다 스다 이렇다 나오다 생각 제가 생각 맞다 어떡하다 운동 좋아하다 당뇨병 시간 오줌 마렵다 공부 때 졸리다 최근 살이 고요 제가 위 쓰다 글 맞다 오다 이번 단기 방학 이용 살빼다 당 수치 내려가다 부모님 친척 대부분 당뇨병 앓다 아다 무리 노력 당뇨병 걸리다 밖 없다 아다 진짜 나이 당뇨병 믿기다,다뇨
제가 밥 먹다 시간 지나다 피 뽑다 혈당 수치 나오다 당뇨,다뇨
잠 많다 어쩌다 정말 맨 정신 같다 말 하다 졸다 잠 자다 많다 잠 자다 만큼 깨우다 선 일어나다 하다 밥 먹다 하루 끼 이상 먹다 살이 안 찌다 원래 안 찌다 체질 지금 빠지다 하다 좋아하다 닿다 좋아하다 잠 많다 보다 당뇨 심이 되다 당뇨 말다 질병 증상 나타나다 알다 지식인 쓰다 거거 당뇨 말다 질병 증상 증상 있다 알다 주세 부탁드리다 체중 모르다 라 쓰다,다뇨
주전 갈증 심하다 소변 보다 지식인 오늘 검색 당뇨 의심 증세 라 하다 아버지 당뇨 있다 집 혈당 기로 재 보다 넘다 나오다 있다 나이 전 고혈압 판정 받다 약 치료 받다 달 전 피검사 당뇨 없다 갈증 심하다 닿다 음료 마시다 정도 하루 평균 당뇨 의심 그리하다 오늘 어제 집 맥주 병 먹다 새벽 갈증 심하다 콜라 병 먹다 오늘 새벽 정도 인나다 음료수 먹다 검색 당뇨 증세 하다 혈당 기로 재 보다 넘다 나오다 키 정도 비만 달 전 하다 괜찮다 이렇다 당뇨 진행 만약 당뇨 면 차 당뇨 차 비만 인하다 성인 당뇨 궁 금하 고요 손마디 저리다 고민 얼마 전 남자 성기 상피 포 염 그다 걸리다 간지럽다 비뇨기과 갈다 하다 당뇨 관련 있다 빠르다 답변 부탁 드리다 달 전 식습관 좋다 아침 굶다 점심 먹다 저녁 늦다 밥 먹다 갈증 음료수 달다 있다,다뇨
되다 아기 물 하다 시간 마시다 목 물 올라오다 물 달라다 하다 물 안주 때 쓰다 짜증 내다 밤 귀 마다 한번 갈다 하다 동네 병원 가다 소아 당뇨 의심 태어나다 터 물 먹이다 물 먹다 하다 그러다 증상 생각 안하다 병원 소아 당뇨 소리 듣다 걱정 되다 글 적다 소아 당뇨,다뇨
지금 정도 고도 비만 까다 밤 화장실 갈다 일 없다 물 그렇다 마시다 오줌 누다 때 거품 전 변 없다 작년 당뇨 증세 없다다 듣다 밥 먹다 양도 반 줄이다 배고프다 증상 없다 까다 당뇨 증상 없다다 하다 있다,다뇨
제가 지금 고 올라가다 학생 평소 과체중 제가 초콜릿 요리 같다 좋아하다 진로 요리 생각 먹다 관심 많다 먹다 하다 초콜릿 먹다 요즘 듣다 화장실 자주 고요 어지럽다 증 다그다 예전 안구 건조증 있다 그다 한동안 괜찮다 생기다 겨울 그렇다 모르다 눈 아프다 공부 때 거실 바닥 앉다 하다 요즘 듣다 다리 저리다 요즘 피곤하다 아침 일어 요 잠 적다 자다 하루 시간 정도 자다 일어 서도 학원 안가 하루 종일 눕다 물 마시다 한 있다 목 마르다 물 찾다 되다 고요 걷다 어지럽다 주저앉다 그러다 당뇨병,다뇨
달 전 보건소 소변 검사 보다 백혈구 염증 수치 보이다 검 나중 해보 하다 전 소변 검사 해보다 백혈구 염증 수치 발견 결과 산 부인과 진료 해보 하다 오늘 다녀오다 소변보다 때 불편 있다 묻다 한번 따끔거리다 아프다 없다 현재 근 달 간 불임 전문 병원 인공 수정 시도 과 배란 인하다 난소 커지다 방광 압박 다뇨증 세가 있다 하다 그다 다구 산 부인과 무증상 방광염 일수 있다 증세 없다 약 먹다 필요 없다다 하다 그리하다 항생제 먹다 대답 하다 뉘앙스 자체 약 권하다 같다 알다 하다 약 처방 오다 자궁 경부 암 검사 검 받다 인공 수정 보다 질염 방광염 같다 염증 증세 생기다 있다 무증상 방광염 약 먹다 방치 자연 치유 되다 정말 불편 곳 없다,다뇨
지금 제가 겪다 상태 당뇨 모 젊다 이렇다 없다 생각 하다 하다 주되다 증상 요 전 물 차갑다 마시다 별 시원 느낌 느끼다 혀 차갑다 마시다 때 오다 이러다 느끼다 보다 글다 당뇨 오줌 거품 일어나다 그러다 보다 일 보다 때 거품 있다 많다 여 약간 있다 당뇨 초기 증상 여 집안 당뇨 돌아가다 없다 여 대부분 간이 관련 돋다 가시다 실력 있다 지식인 들다 답변 부탁드리다,다뇨
안녕 초등학생 여 학생 어리다 때 방광염 걸리다 약 먹다 괜찮다 요즘 방광염 걸리다 같다 약 먹다 다그다 제가 자위 하다 성기 만지다 균 들어가다 간지럽다 따갑다 바르다 약 연고 바르다 여 오늘 뉴스 당뇨병 이야기 나오다 인터넷 검색 증상 나오다 제가 건강 무지 무지 신경 쓰다 여 죽다 생각 하루하루 고통 오다 하루 소변 방광염 정도 갈다 여 당뇨병 대하다 알아보다 체중 줄다 밥 먹다 되다 피곤 소변 보다 때 한번 많다 양 나오다 갈증 생기다 나오다 제가 체중 밥 예전 먹다 그리다 물 마시다 아다 그리다 콜라 마시다 매일 일주일 정도 몰르다 여 만약 당뇨병 의심 근처 병원 가다 혈당 수치 검진 받다 하다 소아과 가다 되다,다뇨
안녕 공부 하다 고 학생 몸무게 키 비하다 나가다 정도 운동 달 전 줄넘기 두다 제가 폭식 과 맵다 음식 좋아하다 할머니 당뇨병 앓다 나머지 가족 건강 제가 어저께 눈 같다 아프다 그러다 자다 일어 나도 아프다 밤 새다 그렇다 모르다 전 안구 건조 소리 듣다 제가 당뇨 같다 걸리다 두렵다 당뇨 같다 걸리다 눈 실명 되다 소변 하루 많다 때 정도 가다 물 마시다 초등학생 때 하다 중학교 때 터 살이 빠지다 시작 중학교 때 검사 때 정상 검사 정도 되다 같다 불안 의사 선생님 보시다 가 문제 있다 병원 가보 말씀 하다 주세 혼자 병원 가다 검사 받다 하다 엄마 하다 꺼 임,다뇨
아다 원래 뉴스 즐기다 그러다 화장실 자 주가 당뇨 제목 기사 나오다 나도 당뇨 하다 비슷하다 아래 증상 일어나다 소아 당뇨 지금 소변 검사 때 한번 당뇨 나오다 없다 증세 오줌 마렵다 갈증 쉽다 낳다 물 마시다 갈증 해소 하루 개 아이스크림 과자 둘 중하 이상은 먹다 살이 찌다 요 닿다 음식 즐기다 먹다 자랑 아니다 이러다 소아 당뇨 참고 소변 검사 때 당뇨 나오다 없다 질문 당뇨 소아 당뇨 닿다,다뇨
안녕 하세 올해 들어가다 남학생 요즘 제가 당뇨 걱정 되다 오줌 달 정도 계속 노란색 나오다 거품 꽉차다 물 안마 긴하다 감기 있다 같다 물 마 고요 목 마르다 같다 당뇨 가르치다 주세 내공 걸다,다뇨
제가 건강 검진 하다 당 나오다 당뇨병 걸리다 증상 있다 어떻다 하다 하다 식 팔 다리 저리다 때 있다 당 그렇다,다뇨
작년 몸 기운 없다 병원 가다 맞다 그날 저녁 메스껍다 어지럽다 불안 초초 증상 식사 도중 응급실 다니다 오전 다녀오다 병원 의사 선생님 선 저혈당 의심 세 블다 업 한국 사이다 나 오렌지 주스 마다 하다 응급실 순서 기다리다 세 블다 업 병 오렌지 주스 마시다 증상 호전 되다 심하다 추위 느끼다 부 부 떨리다 까다 기 하다 이러다 죽다 구 나라 생각 드다 혼 빠져나가다 느낌 응급실 당 담의 고혈당 같다 고혈당 약 주다 약 먹다 약 이틀 동안 당 떨어지다 죽다 보다 이틀 후 피 검사 통하다 검 때다 당뇨 수치 정상 나오다 담당 늘다 절대 당료 하다 유학 오다 얼마 되다 심리적 쇼크 같다 생각 병원 다녀오다 후 엔 어다 마시다 근육 만들다 때 먹다 에너지 드링크 한국 하다 모르다 어지럽다 메스껍다 체하다 같다 약간 불안 있다 독 약 먹다 온몸 힘 빠지다 하다 갑자 눈 심하다 침침 시야 느끼다 니다 손발 기도 하다 잠 자다 없다 불안 저녁 식사 치킨 조각 세 블다 업 모금 마신 후 시간 후 혈당 나오다 요즘 공 복시 당 확인 때다 운동 후 정도 나오다 예전 약 달 전 식사 후 시간 안 넘다 증상 당뇨 일주일 이상 자전거 걷기 정도 하다 앉다 일어 나기 이상 윗몸 일으키기 하다 운동 부족 같다 당뇨 혈당 확인 때 피 색 까맣다 나오다 당뇨 상관 있다,다뇨
아버지 당뇨병 있다 집 있다 기계 체크 해보다 하다 요즘 한참 동안 체크 알다 오늘 공복 식후 시간 후 체크 해보다 공복 혈당 정도 나오다 식후 시간 후 정도 나오다 아버지 병원 가다 피 뽑다 검사 혈당 정도 올라가다 하다 제가 약간 저혈당 작년 거의 이 나오다 식후 나오다 넘다 당뇨 병 무섭다 걸 알다 당뇨 생기다 걱정 되다 제가 정상 체중 정 나가다 아버 지도 당뇨 시다 저혈당 무섭다 덜다 생각 정도 유지 좋다 같다 어떻다 정상 정인 혈당 범위 알다,다뇨
최근 체중 재다 없다 만나다 사람 살이 빠지다 하다 재 보다 정도 빠지다 올해 듣다 정도 빠지다 같다 다이어트 하다 살이 빠지다 걱정 되다 병원 가보다 하다 과 가다 하다 걷기 힘들다 기력 허하다 땀 흘리다 그렇다 하다 조다 무섭다 살이 빠지다 당뇨 일수 있다,다뇨
올해 세가 되다 새신랑 다르다 한참 단꿈 젖다 하다 새신랑 하다 고민 증상 생기다 지식인 여쭈다 작년 월경 결혼 하다 결혼 당시 몸무게 운동 식이 요법 덕분 기존 대의 비만 형 정도 빼다 결혼 마치다 올해 예전 비하다 갈증 표현 하다 입안 해지다 침 마르다 현상 발생 처음 장만 집이 건조 여기다 대수롭다 생각 평소 원래 물 마시다 물 음료수 섭취량 많다 하다 그때 소변 보다 일 늘어나다 되다 원래 제가 자다 배고프다 때 일어나다 타입 요 근래 자다 소변 일어나다 돼다 크다 걱정 없다 문제 체중 지속적 빠지다 전 목욕탕 몸무게 재 어다 보다 결과 되다 운동 하다 감량 되다 원래 식탐 많다 하다 식사량 줄다 하다 의식적 식사량 예전 비하다 먹다 아프다 증상 없다 입안 침 마르다 현상 살이 빠지다 현상 걱정 생기다 어떠하다 현상 좋다 조언 진하다 하다,다뇨
여성 최근 갈증 심하다 물 계속 마시다 입 안 마르다 하다 그러다 느낌 장기 수분 부족 느낌 날씨 덥다 마시다 물 느낌 들다 몸 물 부르다 증상 당뇨 증상 있다 갈증 심하다 덜다 참고 형 간염 보균자,다뇨
당뇨병 케톤 산증 대하다 그리다 케톤 산증 고치다 사망 이어지다 답변 부탁,다뇨
