sentences,category
되다 같다 예전 그리하다 설 사가 하루 정도 같다 특별 히 아프다 없다 설 사르다 하다 문제 있다 먹다 아침 일어나다 배 아프다 있다 설 사하다 전 배 아프다 설사 괴다 아지 문제 아침 일어나다 증세 있다 자주 설사 하다 병원 가보다 하다,설사
제가 고등학교 때 약 전 음식 술 맥주 을 마시다 배 아프다 설사 자주 경향 있다 병원 가다 진찰 받다 과민성 대장 증상 진단 받다 처방 받다 약 복용 후 그러하다 증상 완화 잊다 살다 약 정도 전 아침 일어나다 물 마시다 음식 먹다 때 배가 아프다 화장실 가다 변 보다 설사 하다 하다 변 나오다 완전 설사 아 배 아프다 변 색깔 원래 변색 금색 이 아니다 갈색 주황색 검정색 갈색 짙다 의 변이 나오다 병원 가다 위 내시경 받다 보다 결과 특별 증상 없다다 하다 헤다 리코 박 터 없애다 약 약 반달 정도 복 용을 후 잠 잠 하다 배가 아프다 아니다 설사 계속 하다 대장 문제 있다 아니다 다르다 병 인하 증세 나타나다,설사
전 여름 시작 시작 설 사가 여름 끝나다 때 지속 병원 약 먹다 소용없다 여름 끝나다 진정 하루 설사 하다 배 아프다 항문 아프다 단지 생활 질 떨어지다 문제 무엇 문제 어떻다 벗어나다 있다,설사
아다 미치다 같다 오늘 일 요일 내일 학교 가야 돌 꺼 같다 고 스트레스 장난 아니다 자세 적다 발 돕다 의사 선생님 부탁 드립 니다 제가 목요일 날 심각 아프다 열나다 그다음 날인 금요일 날 아침 병원 가다 학교 행이 아침 머리 진정 되다 상태 라 크다 어려움 없다 그때 변 보다 설사 병원 가다 진찰 감기 초기 증세 같다 목 따갑다 내려가다 보다 단순 스트레스 같다 하다 그리하다 약 을 짓다 약 국가 약 받다 학교 가다 학교 낡다 화장실 말 아니다 최근 학년 화장실 리모델링 좋다 학년 화장실 말 제대 변 누다 푸다 식 심각 그리하다 집 오다 누다 급 때다 학년 화장실 가다 눌다 그때 목요일 야자 시간 아프다 집 가다 자다 변 보다 설사 인줄 몰다 덜다 약 받다 학교 오다 다음 점심 먹다 약 먹다 그러다 배 거리 배고프다 때 소리 목요 때 야자 시간 때 있다 그렇다 금요일 끝나다 집 오다 열 자다 대변 보다 이때 인줄 몰다 슬다 토요일 투 통 완쾌 되다 부모님 서다 투 통 완쾌 약 먹다 되다 하다 약 먹다 먹다 지금 일요일 머리 아프다 약 먹다 설사 나다 하다 있다 그때 병원 상담 때 전 설사 예 길다 한 적도 없었다 크다 문제 생각 토요일 학교 보충 끝내다 휴무 토요일 학교 갈다 집 돌아오다 도서관 가다 하다 배 거리 설 사가 나오다 완전 물 설사 정도 냄새 악취 엿 슬다 원래 심하다 심하다 보다 나오다 다음 속 하다 도서관 갈다 멈추다 집 하다 마음먹다 뒤 저녁 먹다 되다 스다 배 설사 슬다 어머니 배 아프다 설사 매실 짓다 그러다 뒤 설사 하다 그때 도 냄새 심하다 악취 나다 제가 무리 하다 그렇다 생각 하다 잠 자리 듣다 밤 그렇다 일요일 오늘 아침 일어나다 평소 운동 하다 씻다 밥 늘다 미치다 알다 배 거리 덜다 정도 만 화장실 가다 변 보다 아 미치다 그때 냄새 심하다 물 설사 반 그러다 그다음 간식 늘다 우유 컵 빵 코 우유 우유 정도 잇다 화장실 달려가다 역시나 물 설사 점심 먹다 있다 물 설사 이번 아무것 먹다 거리 덜다 물 설사 어머니 같다 죽 주다 역시나 물 설사 지금 계속 죽 먹다 오늘 물 설사 하다 같다 대게 보다 설사 하다 때 항문 부분 따갑다 증상 없었다 이상 한번 하다 내려오다 느낌 음식 먹다 죽이다 간식 음식 먹다 경우 몸 이상 느껴지다 음식 한번 소장 갈다 느낌 하다 쑥 내려가다 느낌 고 의대 갈다 공부 하다 하다 설사 미치다 같다 일요일 병원 문 열지 어머니 약 먹다 말르다 하다 약국 가다 혹시나 하다 장염 생각 어머니 말 던지다 그러다 있다 하다 장염 큰일 검사 같다 받다 하다 스트레스 장난 아니다 밥 죽 먹다 점심 싸다 가다 하다 내일 학교 가다 전 병원 가다 학교 가야 고 수업 듣다 미치다 증상 정도 심각 건 가요 발 도와주다 미치다 같다 편식 하다 평소 건강 태어나다 병 한번 걸리다 없다 어리다 때 예방 주사 맞다 최근 아프다 기억 없다 계속 설사 다그다 장 염 심 미치다 같다 의사 선생님 도와주다 발 어떻다 하다 하다,설사
얼마 전 위장 내시경 이틀 후 몸살 설사 하다 물 마시다 설사 나오다 평소 없었다 트림 나오다 가슴 통증 있다 설 사의 경우 첨 검은색 변이 나오다 노란색 색 변하다 심하다 앓다 내시경 병원 주 약 처방 후 조금 호전 주 지 나도 증상 사라지다 지금 가슴 통증 증세 있다 변 설사 물 풀리다 이상 변 나오다 트림 하다 기분 좋다 췌장염 췌장암 위장 내시경 물 혹 있다 떼다 하다 사람 위장 내시경 평소 돌아오다 주 지 나도 변이 이상 트림 나오다 문제 생기다 걱정,설사
수고 많다 다르다 제가 변 눌다 동안 계속 변 누다 때 설사 하다 설 사르다 안 때 변비 가다 여 설사 주일 하다 여 그러다 여 증상 지다,설사
작년 시작 올해 넘다 설사 하다 병원 가다 진단 받다 보다 생활 크다 어려움 없다 병원 가다 직장 구하다 회사 취직 하다 시기 오다 잦다 설사 회사 생활 잘하다 있다 걱정 하루 적다 많다 설사 하다 밥 먹다 하다 후 설사 하다 피 섞이다 나오다 그러다 변 색 바뀌다 병원 가다 진료 읃다 전 질병 알아보다 이렇다 문의 드리다 모르다 그리하다 의심 질병 있다 무엇 알다 빠르다 답변 부탁 드리다,설사
현재 학생 그러다 까다 계속 때 체중 중 체중 변화 없다 알다 키 크다 체중 늘다 좋다 아니다 상황 같다 제가 설사 하다 그러다 저번 한번 한의원 가다 진료 받다 있다 내장 기관 약하다 하다 한의원 보약 먹다 하다 변화 없다 그리하다 저의 식습관 문제 하다 한의원 먹지 마 하다 음식 기름지다 고기 우유 밀가루 음식 찬 음식 먹다 설사 횟수 줄다 설사 하다 어떻다 하다 설사 추다 답변 부탁드리다,설사
제가 요새 변비 설사 걱정 이만저만 변비 전 있다 정도 변 보다 괜찮다 반복 요즘 먹다 식단 변 보다 체크 변비 괜찮다 걱정 설사 고등학교 때 심해 같다 나가다 하다 배 아프다 설사 그러다 요즘 나가다 무섭다 운동 안하다 밤 정도 요가 엔 중요 일 있다 이날 배가 아프다 보다 걱정 차 타다 이동 하다 중간 화장실 가다 보다 걱정 단체 이동 제가 배 아프다 고 세우다 같다 병 아니다 바라다 나가다 때 배 아프다 설사 고치다 없다,설사
어제 저녁 구토 설사 증세 있다 미열 있다 같다 식은땀 나다 온몸 기운 없다 계속 쉬다 오늘 아침 설사 하다 점심 먹다 토하다 식 중독 아니다 다르다 질문자 추가 설정 잘못하다 여자,설사
제가 월래 살 었다 대학교 청주 있다 외갓집 학교 다니다 되다 오다 설사 하다 알다 고요 달 전 설사 하다 음식 맞다 인가 이유 모르다 가리다 없다 먹다 위생 문제 외할머니 아끼다 있다 오래되다 하다 먹다 하다 먹다 낳다 뒤 속 괜찮다 변 누다 설사 나오다 형 간염 도 연관 있다 건강 검진 병무청 징병 검사 때 처음 받다 보다 형 간염 있다 처음 알다 되다 외갓집 식구 형 간염 라 그렇다 전문가 말씀 들어보다,설사
요 며칠 동안 변 보다 때 맑다 피 나다 검색 다 설사 심하다 하다 전 설사 아니다 설명 하다 전 돼지고기 먹다 속이 좋다 다음날 배 아프다 변 보다 묽다 비데 하다 따끔거리다 피나다 몰르다 다음날 배 아프다 변 보다 나오다 심 설사 묽다 설사 같다 하다 그때 따끔거리다 느다 휴지 피 맑다 피 닦다 나오다 이 때다 살 나오다 알다 두다 자다 변 감도 있다 다음 변 보다 때 배가 아프다 물 나오다 느낌 듣다 피 나오다 적 첨 배 배탈 낳다 쓰리다 피 나오다 심하다 설사 같다 듣다 설사 심하다 그렇다 하다 전 설사 심하다 그러다 신경 쓰이다 어떻다 하다 하다 일 단지 사제 먹다 아다 그리다 아빠 그렇다 약국 가보다 장염 하다 장염 일수 있다,설사
엄마 삼겹살 라면 먹다 배 뒤틀리다 아프다 하다 화장실 가다 배 아프다 무엇 붙잡다 일 보시다 하구 설사 심하다 식은땀 나다 한번 화장실 가다 오시다 몸 가누다 힘들다 하다 설사 다음 식은땀 나다 오한 증세 있다 증상 오래전 터 있다 요번 심하다 같다 병 알다,설사
안녕 다르다 제가 달 전 식후 배가 아프다 화장실 가다 식후 되다 이상 설사 하다 되다 일반 대변 보다 때 있다 설사 대부분 하루 화장실 갈다 횟수 평균 정도 되다 식중독 의심 하다 달 정도 지속 걱정 소화기 이상 있다 약물 복용 없다 흡연량 많다 음주 없다다 보시다 되다,설사
설사 증세 계속 내과 가다 장염 진단 받다 타세 놀이 알 서방 정 티 스타 정 모 트릭 에스 알 서방 정 티비 오 캅셀 타다 현 타다 액 처방 받다 약 넘다 먹다 설사 증세 계속 설사 증세 더불다 구토 증세 있다 토 같다 느낌 있다 실제 토사물 나오다 두통 무기력 졸음 쏟아지다 장염 아니다 병 있다 종합 병원 가다 정확 진단 받다 하다,설사
제가 주 설사 하다 무엇 이러다 까다 알다 감사,설사
오늘 새벽 복통 오다 보일러 틀다 자다 춥다 배 차갑다 몸 떨리다 배 뒤틀리다 바늘 찌르다 아프다 대변 싸다 배 아프다 설사 하다 설 사르다 정도 그리하다 복통 가시 않다 아프다 눕다 뜨겁다 물 마시다 토 정도 같다 기운 하나 없다 속 뒤집히다 같다 복통 심하다 괴롭다 토 나오다 같다 명치 부분 전체 아래 부분 복통 심하다 어떻다 하다 하다 나오다 있다 고,설사
설사 자주 이유 무엇 원래 변이 제대 되다 변 최근 듣다 설사 가느다랗다 변 나오다 참고 먹다 음식 토마토 방울 말다 일반 토마토 적다 하루 개 많다 하루 바나나 적다 이틀 많다 하루 두개 유 검다 콩과 오곡 평균 하루 팩 하다 팩 당 이렇다 되다 아다 제가 밥 먹다 씨리얼 먹다 밥 먹다 귀찮다 세끼 씨리얼 때우다 우유 먹다 적다 먹다 들이다 산성 산성 배 들어가다 좋다 토마토 아침 일어나다 먹다,설사
동생 전 터 설사 하다 하다 이내 간격 심 떄 하다 적도 있다 하다 동생 오늘 알려주다 오늘 처음 알다 병원 장염 심 같다 느다 하다 병원 돌아오다 설사 하다 피 나오다 하다 약 먹다 토 하다 설사 좋다 음식 치료 방안 조언 하다 주세 아다 그리다 열 밤 되다 높다 낳다,설사
제가 자주 약도 먹다 아프다 방광염 걸리다 항생제 약과 정맥 주사 항생제 맞다 그러다 달 정도 었다 날 어지럽다 구토 증상 일어나다 그리다 가슴 답답증 이어지다 설사 동반 식사 후 심장 뛰다 가슴 불안 초초 증상 나타나다 자주 응급실 가다 특별 답 없다 독 항생제 의하다 위악 예상 병원 가다 소화 잘되다 약 주다 그때 식 가슴 답답증 일어나다 시작 요새 그러다 식사 하다 설사 원래 자주 달 설사 묽다 변 보다 내과 가도 이유 없다 신경성 대장 증상 하다 설사 하다 인지 자도 자도 졸리다 있다 심장 뛰다 조금 움직이다 힘 피곤 증세 빈혈 증세 나타나다 피검사 하다 빈혈 증세 그리다 탈수 증상 의원 가다 심장 약하다 허약 체질 한약 늘다 설사 하다 탓 먹지 병원 가도 증세 호전 게 속 피다 하다 힘들다 우울 증세 오다 같다 미치다 엄마 신경 쓰다 그러다 가슴 증상 가지다 신경성 군 신경 정신과 가다 되다 약 먹다 호전 같다 크다 병원 가다 치료 받다 보다 하다 원인 찾다 없다 살다 정도 미치다 도와주다 증상 가슴 증상 울렁거리다 묽다 변 시간 자다 피로 심장 뛰다 힘 드다 귀찮다 짐 걱정 고민 많다 꿈 꿈,설사
어제 새벽 배가 아프다 화장실 가다 설사 하다 잇다 구토 하다 군 오늘 아침 일어나다 설사 지금 하다 아프다 말 엄마 그러다 엊그제 저녁 먹다 늘다 체하다 같다 하다 질문 요 학원 가다 만약 설사 마렵다 어떻다 대처 구토 설사 증상 있다 이불 덮다 배아 파 대처 방법 내공 걸다 내공 내공 장난 식 답변 신고 하다,설사
설사 하다 하다 되다 같다 원래 장 좋다 치킨 자장면 기름기 많다 먹다 설사 하다 소화기 병 별거 안 먹다 그러다,설사
중학교 학년 여학생 요새 계속 증상 반복 고민 끝 의사 선생님 질문 드리다 최근 달 설사 나오다 설 사가 나오다 전 아랫배 조이다 얼굴 빨개지다 정도 아프다 방귀 나오다 제가 떡볶이 그러다 음식 좋아하다 먹다 급하다 먹다 하다 그렇다 하다 달 넘다 항 상 설사 나오다 이상 병 병원 가보다 하다 병원 가다 하다 병원 가야 회복 어떻다 하다 자세 답변 부탁드리다 발 부탁 드리다,설사
전 속이 매스껍다 어제 밤 물 설사 나오다 속 끓다 아무것 먹다 증상 서다 사가 빈도 수가 많다 지네 오늘 하다 같다 당장 내일모레 동원 훈련 가야 하다 갈다 있다 연기 속이 좋다,설사
어제 저녁 라면 먹다 자다 과식 하다 같다 밤 쯤 배 아프다 화장실 가다 설 사르다 하다 한번 낳다 후 사이 설사 하다 가다 밤 잠 설치다 이상 하다 같다 오늘 아침 쯤 세다 오후 넘다 하다 같다 설사 종류 물 설사 밥 먹다 괜찮다 지 길 레 물 밥 말다 김치 먹다 설사 하다 미치다 하다 병원 가보다 내일 가다 어떻다 하다 되다 있다,설사
어제 저녁 일 걸다 낮 먹다 짬뽕 식체 하다 몸살 나다 오다 몸 쑤시다 아프다 아르바이트 말다 조퇴 하다 그러다 계속 배가 아프다 배 아프다 화장실 가다 밖 나오다 완전 물 아다 진짜 집 놀다 먹다 하다 배 아프다 별 상관 없다 오늘 오후 설 고향 가다 하다 이렇다 배가 아프다 걱정 고향 갈다 시간 넘다 걸리다 가다 배 아프다 곤란 설사 좋다 음식 설사 멈추다 있다 약 있다 알다 전 내공 짓 자제 바라다,설사
제가 일전 술 마시다 토 하다 술 먹다 토 처음 술 마시다 아프다 아프다 하다 오늘 아침 설사 하다 먹다 설사 같다 고요 점심 설사 하다 문제 오늘 밤 배 아프다 화장실 가다 설 사하다 알다 보다 빨갛다 농도 중간 들이다 그다음 힘 주다 설사 원래 색 묽다 갈색 이 나오다 이러다,설사
청년 건강 원래 적 한번 없다 하다 전날 밤 무리 아이스크림 정도 먹다 선풍기 키다 자다 아이스크림 먹다 전 주 정도 변비 걸리다 같다 그러다 아이스크림 먹다 다음날 변 슬다 묵다 변비 변 보고 낳다 뒤 게 속 설사 하다 되다 물 마시다 시간 뒤 설사 하다 이러다 가스 심하다 차고 방귀 끼다 하다 설사 나오다 하다 설사 하다 체중 제어 보다 키다 로 까다 빠지다 이상 복 통가 트다 없다 설사 가스 게 속 나오다 어떻다 하다 돼다 지방 연수원 있다 주위 산골 있다 먹다 늘다 나오다 급식 먹다 있다 없다 병원 갈다 시간 없다 어떻다 조치 하다 방법 이 없다,설사
제가 물 설사 시작 전 배 아프다 방귀 나오다 밥 먹다 소화 되다 그쯤 되다 설사 시달리다 제가 운동 하다 편식 하다 제가 생각 뛰다 배 소리 나다 화장실 가다 변이 나오다 여 병원 가보다 여 장염 여 글다 하루 늘다 변 나오다 여,설사
제가 어제 배 아프다 화장실 가보 똥 오늘 점심 김치 부침개 먹다 장 좋다 정 정제 바 시판 에프 먹다 유산균 먹다 저녁 먹다 까다 배 아프다 화장실 가다 설사 나오다 눕다 아프다 엎드리다 명수 먹다 백초 시럽 먹다 체하다 아니다 장염 제가 장염 걸리다 답변 체 손 따다 되다 내공,설사
