sentences,category
오늘 뉴스 알다 에다 방송 수면 마취 위험 대하다 기사 보다 궁금하다 질문 드리다 전 코 성형 하다 그때 손가락 집게 같다 끼우다 수면 마취 하다 수면 마취 깨다 정도 어지럽다 후 괜찮다 달 정도 재수술 수면 마취 하다 마취 깨다 심하다 어지럼증 구토 증상 있다 제주 량 병 정도 그때 병 정도 마시다 같다 완전 만취 상태 같다 느낌 듣다 구토 정도 하다 흰색 노란색 액체 계속 나오다 병원 정도 눕다 진정 같다 택시 거리 있다 집 오다 멀미 집 오다 어지럽다 구토 하다 날 이러다 죽다 하다 생각 듣다 하루 종일 힘들다 병원 별일 주사 맞다 약주 집 보내다 날 제 상태 별일 아니다 다음 수면 마취 되다 위험 깨어나다 일 없다,구토
상담자 배우자 상담 내용 시경 터 증상 복통 없다 열 없다 편두통 머리 누르다 호소 병원 진료 결과 이상 없다 진찰 받다 구토 억제 처방 약 복용 약 복용 후 시간 경과 통 복통 없다 메스 끄다 움 증상 나타나다 뇌 질환 인하다 구토 여부,구토
친구 술 마시다 들어오다 구토 하다 주량 적다 마시다 데리다 주다 때 갑자 구토 몸 가누다 구토 하다 속 불편 계속 손가락 넣다 토하다 해 마지막 구토 갈색 침 섞이다 나오다 피 보이다 아프다 말 안하다 자다 잇다 병원 가다 하다 요즘 좋다 일 있었다 운동 심하다 하다 몸 지치다 있다 심신 지치다 술 먹다 부 데 끼다 걸다 무엇 어떻다 대처,구토
어머니 달 정도 심 두통 심하다 구토 하다 두통약 듣다 시작하다 정도 구토 두통 멎다 검사 목 엑스레이 찍다 이상 없다다 하다 그러다 계속 주기적 아프다 전 같다 증세 내시경 하다 내시경 나오다 하다 병인 가요 자세 답변 부탁드리다,구토
다이어트 관심 가지다 고 구토 시작 고 고 쯤 하다 대 학생 되다 몸매 해지다 무리 다이어트 현상 반복 스트레스 받다 그로 인 다이어트 잦다 구토 습관 되다 이제 위 아프다 하다 배가 아프다 목 무언가 끼다 이물감 있다 목 걱정 되다 스다 이비인후과 정도 다녀오다 그때 제가 구토 말 안하다 소견 받다 기억 날다 의사 선생님 염증 하다 약 짓다 먹다 이 구토 습관 참 안다 쳐지다 먹다 토하다 먹다 토하다 그렇다 몸무게 줄어들다 완전 먹다 조금 토하 걸다 요령 생기다 배 어떻다 어떻다 힘 주다 구토 되다 그러다 슬다 몸 이상 오나 보다 배 아프다 아프다 모르다 위 같다 어떻다 아프다 설명 위 하다 느낌 하다 묵 직 해지다 느낌 아프다 하다 놔두다 에다 무섭다 이렇다 지식인 글 남기다 여쭈다 목 아프다 평상시 거슬리다 배 아프다 저다 병원 가다 진찰 받다 하다 가다 어떻다 말 하다 하다 잦다 구토 배 아프다 설명 되다 가다 능하다 의사 선생님 답변 구하다 조언 부탁 드리다,구토
제가 기침 하다 지가 달 정도 슬다 달 군대 훈련소 있다 때 먼지 마시다 그렇다 몰르다 훈련소 나가다 낫다 알다 낫다 처음 약 국가 기침약 사다 먹다 마약성 기침약 쓰다 주다 낫다 싶다 재발 이번 같다 기침약 사다 먹다 효과 없다 병원 가다 찍다 보다 기관지 좋다 주사 맞다 처방전 받다 약 먹다 약 먹다 가다 효과 없다다 하다 약 바뀌다 진해 거담제 추가 주다 먹다 조금 기침 횟수 줄다 문제 기침 상태 달라지다 갑자 아침 잠 깨다 하다 경우 목 밑 안쪽 기관지 하다 걸리다 느낌 호흡 곤란 해지다 정도 기침 나오다 간지럽다 하다 그러다 구토 일어나다 조금 놀래다 건 기침 나오다 하다 예고 순간적 구토 입 밖 쏟아지다 나오다 요즘 매일 트다 하다 기침 나오다 넘어오다 같다 옆 쓰레기통 가지다 대다 병원 기관지 좋다 하다 저번 나아지다 고 하다 어 하다 되다 모르다 기침 구토 검색 블다 로그 일기 쓰다 있다 이렇다 나오다 죽다 같다 기침 잠 깨다 화장실 뛰어가다 구역질 지독 하구 왼쪽 뱃속 어다 디다 가의 내장 기침 하다 때 아프다 이렇다 아프다 잠 자다 내일 어쩌다 기침 멈추다 빈속 약 밀어넣다 출처 기침 구토 고통 작성자 궁상 질다 이렇다 사람 많다 가보다,구토
제가 어다 위의 정보 꺼 구 엄마 신장 체 성 별 여 흡연 음주 안하다 복용 약 알레르기 없다 엄마 며칠 전 심하다 머리 아프다 구토 하다 머리 아프다 때 울리다 같다 아프다 하다 때 아프다 신경 쓰다 때 머리 울리다 아프다 때 심하다 아프다 때 엄마 더위 먹다 하다 지금 신경 쓰다 머리 심하다 정도 아니다 아프다 그러다,구토
안녕 중학생 때 두통 시달리다 두통 이외 상태 말씀드리다 아버지 닮다 저혈압 있다 하다 평소 손 저리다 증상 발생 하다 알레르기 비염 있다 환절기 고생 하다 다음 저의 두통 어떠하다 설명 두통 달 정도 발생 심하다 경우 아니다 약 먹다 잠 자다 스트레스 신경 쓰다 일 발생 경우 몸 피곤 두통 발생 그러다 얼마 전 두통 약간 구토증 발생 구토 하다 토 나오다 정 도로 속 좋다 두통 인하다 잠 이루다 힘들다,구토
아빠 구토 계속 구토 하다 전 과 먹다 하다 모과 모과 귤껍질 섞다 끓이다 먹다 구토 원인 알다 주세 추 입력 부분 출생 연도 성별 키 모르다 대충 었다,구토
어제 저녁 전날 밤샘 하다 어제 오후 쯤 잠 듣다 일어나다 때 전 날 아무것 먹다 상태 일어나다 물 컵 마시다 물 마시다 뒤 약간 속이 쓰다 오다 구역질 나다 나중 구토 하다 다행 조금 물 마시다 토사물 나오다 하다 그러다 뒤 치킨 조각 먹다 먹다 구역질 나다 토하다 지치다 잠 자다 자다 중간 일어나다 토하다 정도 반복 후론 다행 토 멈추다 통 약간 열 있다 어제 밤 지금 그렇다 손발 차다 손톱 발톱 파란빛 변하다 장딴지 위쪽 근육 쑤시다 급격 구토 손발 차고 손톱 발톱 파란빛 변하다 두통 열 있다 급체 물 마시다 급체 조금 이해 되질 않다 위 길다 정리 드리다 물 마시다 구토 두통 약 간의 열 손발 차다 손발톱 파란빛 변하다 단순 급체 한 걸다,구토
