sentences,category
원래 시력 좋다 왼쪽 눈 오른쪽 눈 정도 증상 없다 같다 머리 아프다 병원 가보다 시신경 위축 이래 정기 검진 받다 후 녹내장 검사 하다 하다 검사 하다 맞다 하다 하다 물어보다 가다 검사 하다 하다 걱정 인터넷 녹내장 치다 두통 구토 충혈 없다 같다 괜찮다,시력감소
제가 눈 시력 마이너스 정도 돼다 눈 좋아지다 방법 알리다 주세 안경 끼다 눈 나빠지다 시력 회복 현수막 하다 시력 올라가다,시력감소
제가 어제 안경 알 바꾸다 가다 시력 검사 하다 시력 안경 벗다 제일 왼쪽 위 잇다 보다 정도 여 눈 나쁘다 돼다 하다 말 듯다 겁 나다 여 눈 좋다 생활 습관 눈 좋다 약 음식 그리다 돼다 알다 시력 좋아지다 잇다 방법 잇다 알리다 주세 부탁 저다 이제 시력 정도 나중 가다 부탁,시력감소
학년 시력 좋다 질문 하다 느다 학년 때 안경 지금 쓰다 렌즈 끼다 본적 없다 시력 하다 시력 교정 방법 있다 눈 시력 교정 책 사다 해보다 효과 좋다 방법 알리다,시력감소
원래 청소년기 시력 떨어지다 성장 멈추다 근시 수의 진행 멈추다 뒤 시력 떨어지다 엄마 아빠 나이 드시다 시력 나빠지다 같다 그러다 라 식 하다 낳다 후 부작용 아니다 시력 떨어지다 있다 걸다 성장 멈추다 시력 떨어지다 지금 렌즈 끼다 안경 어울리다 렌즈 끼다 힘들다 정말 라 식이 하다 라 식 하다 시력 떨어지다 보다 무섭다 제가 디옵터 그러다 되다 지금 떨어지다 고 까다 수술 후 정도 시력 저하 오다 있다 재수술 괜찮다 하다 정도 라 식 하다 평생 안경 렌즈 맑다 눈 살다 되다 있다,시력감소
눈 일전 니스 소독 다하다 뒤 눈 시리다 충혈 심하다 되다 눈 감기다 그리하다 ㅇ 그리다 불 켜지다 있다 눈 감기다 ㅇ 아다 이러다 급하다 답변 부탁드리다 고 여 학생 참고 시력 있다 써클 렌즈 끼다 하다 하루 정도 참고 전 그때 렌즈 끼다 학교 모르다 잠들다 뒤 충혈 심하다 하다 아니다,시력감소
어머니 근시 노안 이시다 안경 맞추다 하다 어머니 나이 세다 당뇨병 앓다 얼마 전 검사 하다 당뇨병 시력 저하 합병증 증세 오다 하다 안경점 가보다 렌즈 테 포함 이상 하다 어머니 시력 정도 악화 어머니 젊다 때 고도 근시 시다 안경 맞추다 하다 걱정 노안 안경 렌즈 어떻다 사용 하다,시력감소
재가 달 전 복싱 하다 스파링 하다 낳다 후 눈앞 떄 시력 떨어지다 눈 빡빡하다 안구 건조증 알다 눈 인공 누액 넣다 지금 좋아지다 근대 얼마 전 안경 사다 재가 오른쪽 눈 약시 안경 쓰다 눈 작아지다 인상 좋다 안경 쓰다 눈 쉽다 안되다 피 해지다 눈 풀리다 그렇다 안경 벗다 되다 동공 커지다 같다 느낌 들다 재가 긴장 하다 그렇다 학교 학원 같다 곳 가면 긴장 하다 그렇다 눈 피곤 지금 은 참으다 학교 학원 같다 가다 참다 힘들다 피 해지다 눈 풀리다 그러다 안경 바꾸다 그렇다 되다 경도 수 높다 맞추다 걸다 내공 걸다,시력감소
지식인 보다 렌즈 끼다 산소 통하다 눈 있다 혈관 동공 자라다 동공 찌르다 눈 실명 하다 맞다 말,시력감소
중학교 다니다 학년 제가 써클 렌즈 검은색 파란색 보라색 끼다 검은색 저번 까다 꺼 끼다 요번 원 끼다 파란색 보라색 원 끼다 요즘 눈 빛 보다 눈물나다 아프다 눈 뜨다 그리하다 렌즈 끼다 되다 렌즈 한번 끼다 없다 아침 끼다 밤 쯤 빼다 눈 보이다 빛 보다 어떻하다 병원 가다 말 말다 고요 병원 가다 치료 하다 병 알리다,시력감소
제가 안경 싫다 렌즈 끼다 렌즈 기간 지나다 끼다 돈 업 쓰다 원 써클 이요 위험 알다 어쩧다 수가 렌즈 빼다 눈 빨개지다 렌즈 끼다 나아지다 오늘 따르다 렌즈 빼다 눈 완전 가까이 안보 이상 완전 빨간색 보이다 가까이 보다 눈 핏줄 만이 스다 잇다 그리다 각막 주위 흰색 잇다 안약 늘다 뒤 거울 보다 물다 눈곱 잇다 노랗다 색 그다 크다 완전 크다 끼다 잇다 그리다 날 자다 일어나다 나아지다 잇다 오늘 만이 빨개지다 잇다 이상은 낫다 잇다 제가 걸리다 각막염 종류 가요 실명 잇다 어떻다 하다 되다 급하다,시력감소
알레르기 결막염 있다 눈 좌 우 여 안경 쓰다 안경 귀찮다 렌즈 슬다 컬러 렌즈 렌즈 끼다 때 눈 따갑다 렌즈 빼다 눈 빨개지다 눈 빨개지다 때 가량 지나다 괜찮다 지구 지식인 렌즈 때 인공 눈 쓰다 고 하다 알레르기 결막염 어쩧다 몰르다 못쓰다 관리 렌즈 끼다 전 집게 잡다 솔다 렉 파 흐르다 씻다 주고 솔 렉 슬다 통도 씻다 그다 통 먼지 떠다니다 알파 붓다 때 그러다 때 씻다 하다 관리 같다 하다 알다 지성 결막염 그러다 같다 하다 어떻다 하다 렌즈 쓰다 하다 하다 쓰다 되다 관리 어떻다 같다 경우 렌즈 때 인공 눈물 넣다 되다,시력감소
