sentences,category
전 목 무엇 걸리다 같다 잠 곤란 정도 음식 먹다 아무렇다 맨입 침 삼키다 무엇 가다 걸리다 침 넘어가다 같다 이비인후과 병원 가다 신경성 이상 없다다 참고 절다 어리다 목 나력 병 앓다 전 안면 마비 앓다 지금 목 입이 알다 깡 마르다 느낌 드다 새벽 교회 가다 찬송 부르다 입 마르다 느낌 곤란 느끼다 기 도시 침 삼키다 물 마시다 근본 적인 깡마르다 느낌 데로 일다 건조 때다 갈다 양말 돌아가다 눈 시력 난시 정확성 잃다 색깔 뿌옇다 나이 하다 질의 분비액 없다 느낌 쇼 증후군 증상 저다 남 목포 살다 과 진료 받다 하다,목마름
요 근래 듣다 갈증 심하다 낮 목 마름 정도 밤 되다 목 무언가 막히다 느낌 밤 되다 정도 마시다 달 전 건강 검진 간장 질환 의심 나오다 이상 없다 하루 빠지다 소변량 많다 왼쪽 가슴 아랫부분 부어오르다 느낌 이증 전 오다 전 병원 수치 일반인 높다 나오다 고모 경우 년 당뇨 인하다 돌아가시다 아버 지도 당뇨 약 복용 중이 시다 다르다 없다,목마름
식욕 억제 대사 작용 하다 다이어트 약 구매 어제 정도 먹다 혀 말리다 들어가다 어제 밤 자다 죽다 보다 놀라다 전날 부 작용 불면증 오다 가량 잠 자다 정신 깜빡거리다 잠들다 때 괜찮다 같다 낫다 알다 자다 일어나다 일어나다 그러다 지금 계속 의식 말려들다 가다 기도 막히다 팔 힘 없다 하다 느낌 있다 머리 바보 되다 같다 뇌 둔하다 컴퓨터 버퍼 링 걸리다 일시적 증상 밖 두근거리다 메스껍다 어지럽다 목 마름 같다 사소 부 작용 있다 약 먹다 정도 가라앉다 완전 후회 이렇다 처음 먹다 정신 듣다 뇌신경 영구적 손상 온건 겁 나다,목마름
원래 그리하다 고등학교 들어오다 심해 같다 힘 없다 매사 짜증 나다 피곤하다 있다 슬퍼지다 짜증나다 학교 웃다 친구 마음 들다 짜증나다 기분 안 좋아지다 남자 아이 비웃다 욕하다 기분 듣다 신경 쓰이다 되다 그러다 생각 알다 아니다 있다 같다 마음 쓰이다 정신적 힘들다 남자애 여자 애 장난치다 다음날 장난 걸다 날 싫어하다 하다 생각 들다 노래 듣다 안정 되다 같다 음악 듣다 가다 기분 이상 멍하다 공부 잘하다 시험 기간 집중 안되다 미치다 자신 싫다 살다 싫다 죽기 무섭다 싫다 못생기다 이렇다 생각 살다 신경 쓰이다 다이어트 해보다 무엇 애 욕하다 같다 기분 계속 고 그리하다 낙천적 성격 여 얼굴 철판 깔다 넘기다 그렇다 되다 해지다 같다 머리 미치다 같다 수업 시간 앉다 때 나다 모르다 다리 떨다 다리 떨다 멈추다 이상 떨다 다리 꼬다 편안 손 종 휴지 같다 있다 찢다 찢다 찢다 종이 찢다 종이 접다 하다 펜 돌리다 있다 기분 좋다 다운 미치다 짜증나다 짜증나다 말 입 달다 살다 잠 자다 상상 하다 과대 사고 별 상상 다하다 하루 종일 상상 빠지다 살다 때 있다 여 트다 망상 심하다 어쩧다 말하다 심하다 귀찮다 말 많다,목마름
모르다 불안 숨 쉬다 힘들다 때 있다 평소 아무렇다 제가 느끼다 순간 오다 다리 힘 풀리다 땀 나다 죽 끄다 숨 쉬다 예 들다 버스 달리다 진입로 같다 가다 막히다 때 있다 그러다 때 비 행기 타다 때 심 비행기 창문 열다 없다 다음 정거장 내리다 없다 생각 들다 불안 해지다 위 오다 같다 증상 나타나다 생각 그러다 병 있다 같다 처음 터 그리하다 비행기 타다 고생 한번 크다 하다 있다 다음 그러다 같다 그러다 꺼 같다 불안감 심해 질다 같다 제가 대학원 가다 되다 비행기 타다 되다 같다 비행 시간 시간 되다 스다 무섭다 엄마 없다 혼자 가야 되다 가깝다 곳 불안 하다 여행도 다니다 하다 일본 중국 태국 그때 전 완전 긴장 상태 되다 스다 기내식 물 먹다 힘들다 생각 웃기다 가깝다 여수 짧다 거리 갈다 때 도착 안도감 아무렇다 제가 생각 전 이러다 가족 심리적 하다 걱정 말다 죽다 하다 알다 죽 긴하다 전 무섭다 가다 길다 가야 꺼 같다 엄두 남 니다 비행기 타다 어렵다 얻다 입학 허가 나리다 없다 생각 하다 무섭다 처방 약 같다 없다 약 심리적 안정 없다 방법 없다 전 비행기 타면 저하 오점 없다다 생각 전 비행기 무서워하다 고민 생각 무섭다 도와주다 만약 제가 약물 심리 치료 비행기 대하다 두려움 없애다 있다 병원 같다 곳 가르치다 주세,목마름
얼마 전 성형외과 팔 지방 흡입 하다 수술 후 동안 절대 살이 찌다 안되다 하다 식욕 억제제 받다 아다 마 처방전 타천 쓰이다 같다 친구 약 먹다 몸 좋다 길 하다 식욕 억제 효과 최고 하다 전 현재 한의원 주다 총명 탕 복용 술 정도 마시다 담배 안하다 약 부작용 의사 샘 말 목 마름 불면 덜다 몸 좋다 알리다 주시 길 바,목마름
고 학생 원래 비염 있다 환절기 비염 코 감기 해지다 최근 콧물 나다 하다 일요일 열 나다 감기 없었다 단순 몸살 같다 날다 관계 오늘 학교 가지다 아침 콧물 나다 이후 어떻다 약도 먹다 현재 열도 안 나다 콧물 없다 기침 계속 없다 신종 인플루엔자 증상 하다 목 마름 덜다 머리 아픔 같다 제가 진짜 신종 하다 때 그러다 같다 정도 지다 실제 증상 없다 등교 하다 주위 분 걱정 많다 그러다 신종 루 주위 사람 위험 증상 하나 나타나다 그렇다 신종 인플루엔자 걸리다 있다 병원 작다 병원 이지만 감기 약간 몸살기 하다 검사 받으다 크다 병원 가다 정도 내야 되다 그다 게 무리 제가 나중 감염 환자 만나다 병 걸리다 늘다 있다 지금 상태 신종 인플루엔자 걸리다 보기 힘들다 답 변 부탁 드리다 감사,목마름
아다 원래 뉴스 즐기다 그러다 화장실 자 주가 당뇨 제목 기사 나오다 나도 당뇨 하다 비슷하다 아래 증상 일어나다 소아 당뇨 지금 소변 검사 때 한번 당뇨 나오다 없다 증세 오줌 마렵다 갈증 쉽다 낳다 물 마시다 갈증 해소 하루 개 아이스크림 과자 둘 중하 이상은 먹다 살이 찌다 요 닿다 음식 즐기다 먹다 자랑 아니다 이러다 소아 당뇨 참고 소변 검사 때 당뇨 나오다 없다 질문 당뇨 소아 당뇨 닿다,목마름
학교 아침 도착 물 찾다 되다 입이 말르다 찾다 운동장 정도 뛰다 입 마르다 지치다 보통 사람 땀 흐르다 땀 느끼다 침 뱉다 걸죽하다 맑다 나오다 가래 나오다 하다 약 먹다 낮다 낫다 물 먹다 그리하다 입 마르다 물 찾다 되다,목마름
제가 고등학교 학년생 살 하다 물 먹다 좋다 하다 물 하루 정도 마시다 수업 시간 동안 마시다 그러다 시간 뒤 동안 마시다 하다 괜찮다 동안 자석 달리다 후프 이제 줄넘기 하다 시간 동안 하다 글다 밤 배고프다 어떻다 하다 알리다 주세,목마름
